Feature,Seed,Fold,R²,MAE,MSE,RMSE,RSE
AD,0,1,0.764514180822027,0.0524658789484758,0.005758402509068335,0.07588413871863035,0.48526881125616655
AD,0,2,0.7306189701896264,0.06354286211453179,0.009149275013129317,0.09565184270639703,0.5190192961830742
AD,0,3,0.7415983726759376,0.056683892799226664,0.008545731866762815,0.0924431277422114,0.5083322017382553
AD,1,1,0.8434413198697418,0.048324810807110014,0.00481707629333793,0.06940516042296804,0.3956749677832276
AD,1,2,0.815470094826995,0.04851262645910378,0.005882560211090281,0.0766978501073549,0.42956944161916943
AD,1,3,0.8226524357931506,0.04761322966407529,0.005064834614958997,0.07116765146440479,0.4211265417981268
AD,2,1,0.7754700021598651,0.05604312859565045,0.007509401681389164,0.08665680401093248,0.4738459642543502
AD,2,2,0.8642836835693688,0.042605397507749984,0.0033804078829945423,0.05814127520956642,0.3683969549692712
AD,2,3,0.7333691601964911,0.06094045346414408,0.00881309902076467,0.09387810724958547,0.5163630891180244
AD,3,1,0.7718934762606984,0.05290159965583844,0.006206970726268453,0.07878433046151026,0.47760498713822247
AD,3,2,0.7974656894719488,0.05597071926550074,0.007140072220309327,0.0844989480426196,0.4500381211942508
AD,3,3,0.8138738749594127,0.05007666582998154,0.005410998519729414,0.0735594896646885,0.4314233709948817
AD,4,1,0.7439301230763973,0.05366514994238833,0.007111160815290212,0.08432769898017028,0.5060334741137218
AD,4,2,0.8454331276724627,0.04605387823592001,0.004307493746159588,0.06563149964886973,0.39314993619169936
AD,4,3,0.8208370013504457,0.05467289018166149,0.00635791406831207,0.07973652907113571,0.4232765037768507
AD,5,1,0.842996237995772,0.04721389136498093,0.004418004155848882,0.06646806869353797,0.39623700231582115
AD,5,2,0.8597610589138835,0.04946190139088226,0.004849723478979822,0.06963995605239726,0.37448490101219895
AD,5,3,0.7706470354453392,0.051469308333496014,0.006547642026912599,0.08091750136350355,0.4789080961464954
AD,6,1,0.8212687813934914,0.05076986737535866,0.005697434584329977,0.07548135256028457,0.4227661512071522
AD,6,2,0.8482986839817025,0.04426860903295861,0.004103961824537098,0.06406217155652076,0.38948853130522015
AD,6,3,0.7610923407344002,0.052694112435726165,0.007703082828843176,0.08776720816365971,0.4887818115126623
AD,7,1,0.7678210165726413,0.05096543184455722,0.006085181494730647,0.07800757331650977,0.48184954438845184
AD,7,2,0.8200058782761659,0.05097817842324766,0.005531760504924511,0.07437580591109257,0.424257141040471
AD,7,3,0.7977092030949244,0.05643299503742783,0.006779105673733442,0.08233532458023982,0.44976749205014316
AD,8,1,0.7140058212570108,0.057188449406245456,0.007478205952745192,0.0864766208448572,0.5347842356904223
AD,8,2,0.8366754482003641,0.047900748704041374,0.005491090070131817,0.07410188978785776,0.40413432395632504
AD,8,3,0.7964572501562932,0.05353168961597635,0.006463652810445548,0.0803968457742314,0.45115712323281215
AD,9,1,0.8766444020214479,0.04621092422485124,0.003962730832640949,0.06295022504043134,0.351220155996993
AD,9,2,0.7799921709995034,0.06044292265100263,0.007971713414277569,0.08928445225389227,0.4690499216506668
AD,9,3,0.8329973062442969,0.041530228894799334,0.0038521204270050456,0.06206545276564931,0.4086596306900195
AD,10,1,0.7606704007330957,0.05790131999446487,0.007962724553036885,0.08923409972110934,0.48921324518751974
AD,10,2,0.8233196505325087,0.044699032221060614,0.004684217891808979,0.06844134636174963,0.42033361686580745
AD,10,3,0.8455417772130298,0.04627675051374192,0.004670822672050797,0.06834341718154571,0.3930117336504983
AD,11,1,0.8290104382708585,0.052362302709290404,0.005313170221230923,0.07289149622027884,0.41350884117409326
AD,11,2,0.7106835740074358,0.06141641712092405,0.008614112876458305,0.09281224529370198,0.5378814237288403
AD,11,3,0.6052695564131374,0.07076314451021569,0.011549593975088137,0.10746903728557419,0.6282757703324733
AD,12,1,0.8037090346742646,0.056997439144415366,0.006455751558496773,0.0803476916811975,0.44304736239564213
AD,12,2,0.8370551941866505,0.04915253363910477,0.005474399876983978,0.0739891875680763,0.40366422409392366
AD,12,3,0.7635949875850225,0.05050601242601341,0.005787277080768374,0.07607415514330984,0.4862149857984402
AD,13,1,0.7909592024866534,0.049998697408708215,0.00620825940946376,0.07879250858719856,0.45720979595077205
AD,13,2,0.8096408741724219,0.04685785736326097,0.00468295195810957,0.06843209742591243,0.4363016454559599
AD,13,3,0.8125666238863252,0.060441602475798384,0.007000720133000473,0.08367030616055181,0.43293576441970566
AD,14,1,0.7951169214211073,0.04745576746985357,0.006066440045948315,0.07788735485268655,0.45264012038140483
AD,14,2,0.7888990632962298,0.06490806420003514,0.007613678461294189,0.08725639495930479,0.45945721966660846
AD,14,3,0.8209416865492647,0.04481811889396554,0.0046180140006233895,0.0679559710446653,0.42315282517163383
AD,15,1,0.7196234987921548,0.05550279793688087,0.0076942162077001,0.08771668146766669,0.529505902901795
AD,15,2,0.7250821555139184,0.06185956913295185,0.010113894177757316,0.10056785857199763,0.5243260860247958
AD,15,3,0.8032548145473875,0.051887436325919654,0.0052627020168475825,0.07254448302143715,0.4435596751876939
