iter	Passed	Remaining
0	1	1582
1	2	1460
2	2	1343
3	3	1278
4	4	1226
5	5	1190
6	5	1182
7	6	1184
8	7	1168
9	8	1159
10	9	1151
11	9	1144
12	10	1144
13	11	1146
14	12	1149
15	13	1146
16	13	1138
17	14	1135
18	15	1131
19	16	1127
20	17	1124
21	18	1131
22	18	1122
23	19	1119
24	20	1116
25	21	1117
26	21	1114
27	22	1113
28	23	1111
29	24	1107
30	25	1106
31	25	1102
32	26	1102
33	27	1097
34	28	1102
35	29	1100
36	29	1097
37	30	1094
38	31	1091
39	32	1092
40	32	1090
41	33	1086
42	34	1084
43	35	1084
44	36	1085
45	36	1082
46	37	1079
47	38	1076
48	38	1073
49	39	1072
50	40	1069
51	41	1067
52	41	1067
53	42	1066
54	43	1066
55	44	1065
56	45	1064
57	45	1063
58	46	1062
59	47	1064
60	48	1062
61	49	1061
62	50	1062
63	50	1062
64	51	1062
65	52	1063
66	53	1061
67	54	1060
68	54	1060
69	55	1060
70	56	1060
71	57	1054
72	58	1054
73	58	1053
74	59	1055
75	60	1055
76	61	1057
77	62	1056
78	63	1056
79	63	1053
80	64	1051
81	65	1050
82	66	1049
83	66	1048
84	67	1047
85	68	1047
86	69	1045
87	70	1044
88	70	1043
89	71	1041
90	72	1040
91	73	1038
92	73	1036
93	74	1037
94	75	1035
95	76	1035
96	77	1035
97	77	1033
98	78	1033
99	79	1031
100	80	1030
101	80	1029
102	81	1029
103	82	1029
104	83	1028
105	84	1028
106	84	1026
107	85	1026
108	86	1024
109	87	1023
110	88	1023
111	88	1021
112	89	1020
113	90	1020
114	91	1020
115	92	1019
116	92	1018
117	93	1016
118	94	1015
119	95	1015
120	95	1013
121	96	1012
122	97	1011
123	98	1009
124	98	1008
125	99	1006
126	100	1005
127	101	1004
128	101	1003
129	102	1002
130	103	1002
131	104	1001
132	104	999
133	105	999
134	106	1000
135	107	999
136	108	997
137	108	996
138	109	995
139	110	994
140	111	994
141	112	992
142	112	993
143	113	991
144	114	990
145	115	989
146	116	989
147	116	988
148	117	987
149	118	986
150	119	984
151	119	983
152	120	982
153	121	982
154	122	982
155	123	982
156	123	981
157	124	981
158	125	980
159	126	979
160	127	978
161	127	977
162	128	976
163	129	975
164	130	974
165	131	974
166	131	973
167	132	972
168	133	971
169	134	970
170	134	969
171	135	969
172	136	968
173	137	967
174	138	967
175	138	965
176	139	964
177	140	964
178	141	963
179	141	962
180	142	961
181	143	960
182	144	960
183	145	959
184	145	958
185	146	957
186	147	957
187	148	956
188	149	955
189	149	954
190	150	953
191	151	952
192	152	952
193	153	951
194	153	951
195	154	951
196	155	950
197	156	950
198	157	948
199	158	948
200	158	947
201	159	945
202	160	944
203	161	944
204	161	943
205	162	943
206	163	942
207	164	941
208	165	940
209	165	940
210	166	939
211	167	938
212	168	938
213	169	937
214	169	936
215	170	935
216	171	934
217	172	933
218	172	932
219	173	931
220	174	930
221	175	929
222	175	928
223	176	928
224	177	927
225	178	927
226	179	926
227	180	925
228	180	925
229	181	924
230	182	923
231	183	923
232	184	922
233	184	921
234	185	920
235	186	920
236	187	919
237	188	918
238	188	917
239	189	916
240	190	915
241	191	914
242	192	914
243	192	913
244	193	912
