Feature,Seed,Fold,R²,MAE,MSE,RMSE,RSE
CS,0,1,0.7232708658014,0.08339452297353182,0.0133850664068108,0.11569384774831719,0.5260505053686385
CS,0,2,0.8675229536302931,0.08035063704521879,0.01317776775224282,0.11479445871749568,0.36397396386239905
CS,0,3,0.8014915495709583,0.08326388039825691,0.01684734806338508,0.1297973345773521,0.4455428715949137
CS,1,1,0.8952872539606311,0.06943776497812353,0.008524749260388806,0.09232956872199072,0.32359348887047906
CS,1,2,0.6349839749136748,0.1108776210943693,0.02838340370978635,0.16847374783563862,0.6041655609899701
CS,1,3,0.8048737598032855,0.08875076450464674,0.015007738709406773,0.12250607621423018,0.4417309590652601
CS,2,1,0.5683382717895793,0.08691508448037581,0.017382324252205282,0.13184204280958817,0.6570096865423071
CS,2,2,0.8518393428598586,0.08862474459427434,0.015157902590667637,0.12311743414589031,0.384916428774015
CS,2,3,0.8821554370133461,0.08048973315203005,0.010782862125477383,0.10384056108032826,0.34328495887040245
CS,3,1,0.8032778602845002,0.06985992847101538,0.01202567333779338,0.10966163111039968,0.44353369625711614
CS,3,2,0.793161252411108,0.09248900118871999,0.013979784661515605,0.11823613940549482,0.454795280965944
CS,3,3,0.833441583266775,0.09736359481026972,0.017906391412076606,0.1338147652991874,0.40811569037862905
CS,4,1,0.8442578210648156,0.08515435278497223,0.013889992163664346,0.11785581090325732,0.3946418362707943
CS,4,2,0.7426977202788216,0.09181832378261869,0.01705747579227398,0.1306042717229187,0.5072497212627902
CS,4,3,0.7359232528899906,0.09836141142674872,0.02087551140618321,0.1444836025512349,0.5138839821496769
CS,5,1,0.7928561892012285,0.09157490718100351,0.013597025842513964,0.11660628560465325,0.45513054259055336
CS,5,2,0.782070532142904,0.09090645255884838,0.016963945007382783,0.1302457101304407,0.46682916346035624
CS,5,3,0.8310343621581916,0.0811920244708482,0.01548593363971122,0.12444249129502037,0.41105430035678786
CS,6,1,0.7204325989619642,0.094288237914121,0.016330351925045537,0.12779026537669266,0.5287413366080204
CS,6,2,0.8244324126115974,0.08232265188484225,0.014499491574770455,0.12041383464855877,0.419007860771612
CS,6,3,0.8443120747018289,0.08206477711188948,0.013194688132465915,0.11486813366841961,0.3945730924659855
CS,7,1,0.8487198287653744,0.08920105242403611,0.015432467619891166,0.12422748335167692,0.3889475173267283
CS,7,2,0.7636616084587321,0.0884849529033954,0.01556204336052162,0.12474791926329522,0.4861464712833653
CS,7,3,0.7679114731660145,0.08319109839439333,0.015442333692335245,0.12426718670805759,0.48175567130443364
CS,8,1,0.8317933383767749,0.0810979119437394,0.014521156484126378,0.12050376128622035,0.41013005452322693
CS,8,2,0.7553802688851425,0.08658125877598133,0.017024392898005662,0.13047755706636166,0.49459046807925594
