iter	RMSE
0	0.2687809443
1	0.2663873758
2	0.263712588
3	0.26153205
4	0.2584252052
5	0.2561140418
6	0.254216525
7	0.2520507154
8	0.2496366686
9	0.247722713
10	0.2448938509
11	0.2424356126
12	0.2401565275
13	0.2375527393
14	0.2358634631
15	0.2343421119
16	0.2319948276
17	0.2305805715
18	0.2282715467
19	0.2257648021
20	0.2237342152
21	0.2216055786
22	0.2197970205
23	0.2174296505
24	0.2161394044
25	0.2148189614
26	0.21299821
27	0.2108715764
28	0.2095203282
29	0.2078700672
30	0.2064704185
31	0.2046761531
32	0.2028334648
33	0.201450352
34	0.2002204867
35	0.1989181191
36	0.1971746245
37	0.1956388919
38	0.1941267918
39	0.1925651663
40	0.1912558609
41	0.1902900606
42	0.189017826
43	0.187512717
44	0.1860634158
45	0.1848652275
46	0.1837525742
47	0.1822391528
48	0.1809607551
49	0.179762159
50	0.1785806504
51	0.1775245453
52	0.1766115498
53	0.1753371318
54	0.174356375
55	0.1731955463
56	0.1724519474
57	0.1711556785
58	0.1701774915
59	0.1689290215
60	0.1681110408
61	0.1669033946
62	0.166284649
63	0.1654655994
64	0.1643189798
65	0.1635440867
66	0.1625533355
67	0.1613471825
68	0.160597095
69	0.1594544628
70	0.1585288822
71	0.1576131944
72	0.1569867989
73	0.156057087
74	0.1552778199
75	0.1542013022
76	0.1534231323
77	0.1528717605
78	0.1521642561
79	0.1510508066
80	0.1500843534
81	0.1495038123
82	0.1488798122
83	0.1483558273
84	0.1475711584
85	0.1468231877
86	0.1459596307
87	0.1453551497
88	0.1445417701
89	0.1441322503
90	0.143638655
91	0.1426811454
92	0.1422023055
93	0.1415259993
94	0.1408755976
95	0.1403747054
96	0.1398061466
97	0.1392248056
98	0.138682253
99	0.1379607431
100	0.1374592003
101	0.1369402578
102	0.1362473807
103	0.1357020034
104	0.1351439485
105	0.134434696
106	0.1339844355
107	0.1334424179
108	0.1328530481
109	0.1326629055
110	0.1319803031
111	0.131418424
112	0.1307506951
113	0.1303540341
114	0.1297377425
115	0.1292975535
116	0.128977631
117	0.1284194813
118	0.1277936826
119	0.1272615834
120	0.1268747901
121	0.1264346389
122	0.1258858062
123	0.1255259964
124	0.1251201755
125	0.1248780238
126	0.1242758432
127	0.1237821442
128	0.1234405676
129	0.1228142428
130	0.1223093868
131	0.1218450152
132	0.121264653
133	0.1207686914
134	0.1203984815
135	0.1199708717
136	0.1196841427
137	0.1194529374
138	0.1192536772
139	0.1189165111
140	0.1183634677
141	0.1179668428
142	0.1176942999
143	0.1174193613
144	0.1169380071
145	0.1165380326
146	0.1160742513
147	0.1157773353
148	0.1154983068
149	0.1151641214
150	0.1145209851
151	0.1142233014
152	0.1138828441
153	0.1136473953
154	0.1132162441
155	0.1130063967
156	0.1126958496
157	0.1122551632
158	0.1116614627
159	0.111341783
160	0.1110582474
161	0.1107856706
162	0.1104375544
