iter	Passed	Remaining
0	0	656
1	0	544
2	1	500
3	1	521
4	2	505
5	2	487
6	3	491
7	3	480
8	3	468
9	4	460
10	4	460
11	5	457
12	5	462
13	5	456
14	6	455
15	6	455
16	7	467
17	7	462
18	8	469
19	8	466
20	9	463
21	9	462
22	9	459
23	10	456
24	10	459
25	11	456
26	11	457
27	11	456
28	12	453
29	12	453
30	13	456
31	13	456
32	14	458
33	14	460
34	15	456
35	15	455
36	15	457
37	16	464
38	17	469
39	17	471
40	18	471
41	18	472
42	19	471
43	19	472
44	20	470
45	20	470
46	20	469
47	21	471
48	22	476
49	22	476
50	23	475
51	23	475
52	24	475
53	24	474
54	24	474
55	25	478
56	26	478
57	26	477
58	26	475
59	27	473
60	27	472
61	28	470
62	28	471
63	29	469
64	29	470
65	29	468
66	30	468
67	30	468
68	31	467
69	32	473
70	32	475
71	33	475
72	33	476
73	34	475
74	34	474
75	35	475
76	35	474
77	36	475
78	36	474
79	37	474
80	37	474
81	38	475
82	38	475
83	39	477
84	40	478
85	40	478
86	40	476
87	41	478
88	42	477
89	42	477
90	43	478
91	43	476
92	43	475
93	44	474
94	44	475
95	45	474
96	45	474
97	46	475
98	46	475
99	47	474
100	47	474
101	48	475
102	49	475
103	49	475
104	50	473
105	50	473
106	50	472
107	51	473
108	52	474
109	52	474
110	53	475
111	53	475
112	54	474
113	54	474
114	55	474
115	56	475
116	56	475
117	57	474
118	57	474
119	58	474
120	58	474
121	59	474
122	59	475
123	60	474
124	60	473
125	61	474
126	62	475
127	62	474
128	63	475
129	63	474
130	64	474
131	64	474
132	65	474
133	65	474
134	66	474
135	66	473
136	67	473
137	68	474
138	68	473
139	69	473
140	69	472
141	70	472
142	70	472
143	71	473
144	71	473
145	72	473
146	72	472
147	73	471
148	73	471
149	74	470
150	74	469
151	75	468
152	75	468
153	76	468
154	76	468
155	77	468
156	77	467
157	78	468
158	79	468
159	79	467
160	80	467
161	80	467
162	81	466
163	81	467
164	82	466
165	82	466
166	83	465
167	83	465
168	84	466
169	85	465
170	85	465
171	86	465
172	86	464
173	87	464
174	88	466
175	88	465
176	89	464
177	89	464
178	90	464
179	90	464
180	91	464
181	92	464
182	92	463
183	93	463
184	93	463
185	94	462
186	94	463
187	95	463
188	95	462
189	96	462
190	97	461
191	97	461
192	98	460
193	98	461
194	99	461
195	100	461
196	100	461
197	101	460
198	101	460
199	102	459
200	103	460
201	103	460
202	103	459
203	104	458
204	105	458
205	105	457
206	106	457
207	106	457
208	107	456
209	107	457
210	108	457
211	108	456
212	109	456
213	110	455
214	110	454
215	110	454
216	111	454
217	112	454
218	113	454
219	113	454
220	114	453
221	114	453
222	115	453
223	115	452
224	116	452
225	116	451
226	117	450
227	117	450
228	118	450
229	118	449
230	119	449
231	120	449
232	120	448
233	121	448
234	121	447
235	122	447
236	122	446
237	123	447
238	123	446
239	124	445
240	125	445
241	125	444
242	126	444
243	126	444
244	127	443
245	127	442
246	127	441
247	128	440
248	128	440
249	129	439
250	130	439
251	130	439
252	130	438
253	131	437
254	131	436
255	132	436
256	132	435
257	133	435
258	133	434
259	134	433
260	134	433
261	135	432
262	135	432
263	136	431
264	136	430
265	137	430
266	137	430
267	138	429
268	138	428
269	139	428
270	139	427
271	140	426
272	140	426
273	141	425
274	141	425
275	142	424
276	142	424
277	143	424
278	144	423
279	144	423
280	144	422
281	145	422
282	146	421
283	146	421
284	147	421
285	147	420
286	148	420
287	148	419
288	149	419
289	149	418
290	150	418
291	150	417
292	151	417
293	152	417
294	152	416
295	153	416
296	153	415
297	154	415
298	155	415
299	155	414
300	156	414
301	156	413
302	157	413
303	157	412
304	158	412
305	158	411
306	159	410
307	159	410
308	160	410
309	160	409
310	161	409
311	161	408
312	162	407
313	162	407
314	163	407
315	163	406
316	164	406
317	164	405
318	165	405
319	166	404
320	166	404
321	167	403
322	167	403
323	168	402
324	168	402
325	169	402
326	169	401
327	170	400
328	170	400
329	171	399
330	171	399
331	172	398
332	172	398
333	173	397
334	174	397
335	174	397
336	175	396
337	175	396
338	176	395
339	176	395
340	177	394
341	177	394
342	178	393
343	179	393
344	179	393
345	180	392
346	180	391
347	181	391
348	181	390
349	182	390
350	182	389
351	183	389
352	183	388
353	184	388
354	185	388
355	185	387
356	186	387
357	186	386
358	187	386
359	187	385
360	188	384
361	188	384
362	189	384
363	189	384
364	190	383
365	191	383
366	191	382
367	192	382
368	192	381
369	193	381
370	193	380
371	194	380
372	194	379
373	195	379
374	195	378
375	196	377
376	196	377
377	197	377
378	198	376
379	198	376
380	199	375
381	199	375
382	200	374
383	200	373
384	200	373
385	201	372
386	201	371
387	202	371
388	202	371
389	203	370
390	203	369
391	204	369
392	204	368
393	205	368
394	206	367
395	206	367
396	207	366
397	207	366
398	208	365
399	208	365
400	209	364
401	209	364
402	210	363
403	211	363
404	211	362
405	211	362
406	212	361
407	212	361
408	213	360
409	213	360
410	214	359
411	214	358
412	215	358
413	216	357
414	216	357
415	217	356
416	217	356
417	218	356
418	218	355
419	219	354
420	219	354
421	220	353
422	220	353
423	221	352
424	221	352
425	222	351
426	222	351
427	223	351
428	224	350
429	224	350
430	225	349
431	226	349
432	226	349
433	227	348
434	227	348
435	228	347
436	228	347
437	229	346
438	230	346
439	230	346
440	231	345
441	231	345
442	232	344
443	233	344
444	233	343
445	233	343
446	234	342
447	234	341
448	235	341
449	235	340
450	236	340
451	236	339
452	237	339
453	237	338
454	238	338
455	239	337
456	239	336
457	239	336
458	240	335
459	241	335
460	241	334
461	242	334
462	242	333
463	243	333
464	243	332
465	243	331
466	244	332
467	245	331
468	246	331
469	246	330
470	247	329
471	247	329
472	248	328
473	248	328
474	249	327
475	249	327
476	250	327
477	250	326
478	251	326
479	252	325
480	252	325
481	253	324
482	253	324
483	254	324
484	255	323
485	255	323
486	256	322
487	256	322
488	257	321
489	257	321
490	258	320
491	258	319
492	259	319
493	259	318
494	260	318
495	260	317
496	261	317
497	262	316
498	262	316
499	263	315
500	263	315
501	264	315
502	264	314
503	265	313
504	265	313
505	266	312
506	266	312
507	267	311
508	268	311
509	268	311
510	269	310
511	270	310
512	270	309
513	271	309
514	271	308
515	272	308
516	272	307
517	273	306
518	273	306
519	274	305
520	274	305
521	275	304
522	276	304
523	276	304
524	277	303
525	277	303
526	278	302
527	278	302
528	279	301
529	279	301
530	280	300
531	281	300
532	281	299
533	281	298
534	282	298
535	282	297
536	283	297
537	283	296
538	284	296
539	284	295
540	285	295
541	285	294
542	286	293
543	287	293
544	287	292
545	287	292
546	288	291
547	288	291
548	289	290
549	289	289
550	290	289
551	290	288
552	291	288
553	292	288
554	292	287
555	293	287
556	294	286
557	294	286
558	294	285
559	295	284
560	296	284
561	296	284
562	297	283
563	297	282
564	298	282
565	299	282
566	299	281
567	300	281
568	300	280
569	301	280
570	301	279
571	302	279
572	302	278
573	303	277
574	303	277
575	304	276
576	304	276
577	305	275
578	305	275
579	306	274
580	306	273
581	307	273
582	307	272
583	308	272
584	308	271
585	309	271
586	309	270
587	310	270
588	310	269
589	310	268
590	311	268
591	311	267
592	312	267
593	312	266
594	313	265
595	313	265
596	314	264
597	314	264
598	315	263
599	315	263
600	316	262
601	316	261
602	317	261
603	317	260
604	318	260
605	318	259
606	319	259
607	319	258
608	320	258
609	320	257
610	321	257
611	321	256
612	322	255
613	322	255
614	323	254
615	323	254
616	324	253
617	324	253
618	325	252
619	325	252
620	326	251
621	326	251
622	327	250
623	327	249
624	328	249
625	328	248
626	329	248
627	329	247
628	330	247
629	330	246
630	331	246
631	331	245
632	332	245
633	332	244
634	333	244
635	333	243
636	334	242
637	334	242
638	335	241
639	335	241
640	336	240
641	336	240
642	337	239
643	337	238
644	337	238
645	338	237
646	338	237
647	339	236
648	339	236
649	340	235
650	340	234
651	341	234
652	341	234
653	342	233
654	342	232
655	343	232
656	343	231
657	344	231
658	345	230
659	345	230
660	346	229
661	346	229
662	347	228
663	347	228
664	348	227
665	348	227
666	348	226
667	349	225
668	349	225
669	350	224
670	350	224
671	351	223
672	351	223
673	352	222
674	352	222
675	353	221
676	353	220
677	354	220
678	354	219
679	355	219
680	355	218
681	356	218
682	356	217
683	357	217
684	357	216
685	358	216
686	358	215
687	359	215
688	359	214
689	360	214
690	360	213
691	361	213
692	361	212
693	362	211
694	362	211
695	363	210
