iter	Passed	Remaining
0	0	1075
1	1	876
2	2	889
3	3	841
4	3	844
5	4	825
6	5	805
7	5	771
8	6	771
9	6	761
10	7	769
11	8	783
12	9	785
13	10	777
14	10	768
15	11	771
16	12	788
17	12	773
18	13	775
19	14	771
20	15	774
21	15	771
22	16	764
23	16	759
24	17	756
25	18	755
26	18	749
27	19	748
28	20	750
29	20	744
30	21	744
31	22	742
32	23	746
33	23	741
34	24	739
35	25	739
36	25	738
37	26	738
38	27	741
39	28	743
40	29	749
41	29	753
42	30	753
43	31	750
44	31	747
45	32	749
46	33	755
47	34	753
48	35	756
49	35	755
50	36	754
51	37	753
52	38	752
53	38	750
54	39	751
55	40	751
56	40	750
57	41	747
58	42	746
59	42	742
60	43	740
61	44	741
62	45	741
63	45	738
64	46	736
65	46	735
66	47	736
67	48	734
68	49	736
69	49	734
70	50	736
71	51	734
72	52	733
73	52	734
74	53	732
75	54	731
76	54	729
77	55	729
78	56	730
79	57	729
80	57	726
81	58	727
82	59	727
83	60	726
84	60	725
85	61	723
86	62	722
87	62	720
88	63	718
89	63	718
90	64	717
91	65	716
92	66	715
93	66	714
94	67	713
95	68	711
96	68	710
97	69	710
98	70	708
99	70	706
100	71	705
101	71	704
102	72	702
103	73	701
104	74	701
105	74	700
106	75	701
107	76	701
108	77	702
109	78	703
110	78	702
111	79	700
112	80	699
113	80	698
114	81	699
115	82	697
116	82	696
117	83	694
118	84	692
119	84	690
120	85	691
121	86	691
122	87	692
123	87	691
124	88	690
125	89	691
126	90	690
127	90	689
128	91	688
129	92	688
130	92	687
131	93	685
132	94	684
133	94	683
134	95	681
135	96	680
136	96	679
137	97	679
138	97	675
139	98	674
140	99	673
141	99	673
142	100	672
143	101	672
144	102	672
145	102	671
146	103	671
147	104	669
148	104	668
149	105	666
150	105	666
151	106	664
152	107	663
153	107	661
154	108	659
155	108	658
156	109	657
157	110	657
158	110	655
159	111	654
160	111	652
161	112	651
162	113	651
163	113	650
164	114	650
165	115	648
166	115	647
167	116	646
168	117	644
169	117	644
170	118	643
171	119	642
172	119	640
173	120	639
174	121	639
175	121	639
176	122	638
177	122	636
178	123	636
179	124	635
180	124	633
181	125	633
182	126	632
183	126	631
184	127	630
185	128	629
186	128	629
187	129	629
188	130	628
189	131	629
190	132	628
191	132	628
192	133	627
193	134	626
194	134	625
195	135	624
196	136	624
197	136	622
198	137	621
199	137	620
200	138	619
201	139	619
202	139	618
203	140	617
204	141	616
205	141	615
206	142	614
207	143	614
208	143	612
209	144	611
210	144	609
211	145	608
212	146	608
213	146	607
214	147	605
215	147	604
216	148	603
217	148	602
218	149	602
219	150	600
220	150	599
221	151	598
222	151	597
223	152	596
224	152	594
225	153	593
226	154	593
227	154	592
228	155	591
229	156	591
230	156	590
231	157	589
232	158	588
233	158	587
234	159	586
235	160	586
236	160	585
237	161	584
238	161	583
239	162	582
240	163	581
241	163	581
242	164	580
243	165	579
244	165	578
245	166	578
246	167	577
247	167	576
248	168	575
249	168	573
250	169	572
251	170	572
252	170	571
253	171	570
254	171	569
255	172	567
256	172	566
257	173	565
258	173	564
259	174	563
260	175	562
261	175	561
262	176	561
263	176	559
264	177	558
265	177	557
266	178	556
267	179	555
268	179	554
269	180	554
270	180	552
271	181	551
272	181	550
273	182	549
274	182	548
275	183	547
276	184	546
277	184	545
278	185	544
279	185	543
280	186	542
281	186	542
282	187	541
283	187	540
284	188	539
285	189	538
286	189	537
287	190	536
288	191	536
289	191	535
290	192	534
291	192	533
292	193	532
293	194	532
294	194	530
295	195	530
296	195	529
297	196	528
298	196	527
299	197	526
300	197	525
301	198	524
302	199	523
303	199	523
304	200	522
305	200	521
306	201	520
307	202	520
308	202	519
309	203	518
310	203	517
311	204	516
312	205	515
313	205	514
314	206	514
315	206	512
316	207	512
317	207	511
318	208	510
319	208	509
320	209	508
321	210	507
322	210	506
323	211	506
324	211	505
325	212	504
326	212	503
327	213	502
328	214	502
329	214	501
330	215	500
331	216	499
332	216	499
333	217	498
334	218	498
335	218	497
336	219	496
337	220	496
338	220	495
339	221	494
340	221	493
341	222	492
342	222	491
343	223	490
344	223	488
345	223	488
346	224	487
347	224	486
348	225	485
349	225	483
350	226	482
351	226	481
352	227	481
353	227	479
354	228	478
355	228	477
356	229	476
357	229	475
358	229	474
359	230	473
360	230	472
361	231	471
362	231	470
363	232	469
364	232	469
365	233	468
366	234	467
367	234	466
368	235	465
369	235	464
370	236	463
371	236	462
372	236	461
373	237	460
374	237	459
375	238	458
376	238	457
377	239	456
378	239	456
379	240	455
380	240	454
381	241	453
382	241	452
383	242	451
384	242	450
385	243	450
386	243	449
387	244	448
388	244	447
389	245	446
390	245	445
391	246	444
392	246	443
393	247	442
394	247	442
395	248	441
396	248	440
397	249	439
398	249	438
399	250	437
400	250	437
401	251	436
402	251	435
403	252	434
404	252	433
405	253	432
406	253	432
407	254	431
408	255	431
409	255	430
410	256	429
411	257	429
412	257	428
413	258	428
414	258	427
415	259	426
416	260	426
417	260	425
418	261	424
419	261	424
420	262	423
421	263	423
422	264	422
423	264	422
424	265	421
425	265	420
426	266	419
427	267	419
428	267	418
429	268	418
430	268	417
431	269	416
432	269	415
433	270	415
434	271	414
435	271	413
436	272	412
437	272	412
438	273	411
439	273	410
440	275	411
441	276	411
442	277	410
443	277	410
444	278	409
445	278	408
446	279	408
447	280	407
448	280	407
449	281	406
450	282	406
451	282	405
452	283	404
453	283	404
454	284	403
455	285	402
456	285	401
457	286	401
458	287	400
459	287	400
460	288	399
461	289	399
462	289	398
463	290	397
464	290	397
465	291	396
466	292	396
467	293	395
468	293	395
469	294	394
470	295	394
471	295	393
472	296	393
473	297	392
474	297	391
475	298	391
476	298	390
477	299	389
478	300	389
479	301	388
480	301	388
481	302	387
482	303	387
483	303	386
484	304	386
485	305	386
486	306	385
487	306	384
488	307	384
489	308	383
490	308	383
491	309	382
492	310	381
493	310	381
494	311	380
495	312	380
496	312	379
497	313	378
498	313	378
499	314	377
500	315	376
501	315	376
502	316	375
503	316	374
504	317	374
505	318	373
506	318	372
507	319	372
508	320	371
509	320	370
510	321	370
511	321	369
512	322	368
513	322	368
514	323	367
515	324	366
516	324	366
517	325	365
518	325	364
519	326	364
520	327	363
521	327	362
522	328	361
523	328	361
524	329	360
525	329	359
526	330	358
527	330	358
528	331	357
529	331	356
530	332	356
531	332	355
532	333	354
533	334	354
534	334	353
535	335	352
536	335	351
537	336	351
538	336	350
539	337	349
540	337	349
541	338	348
542	339	347
543	339	347
544	340	346
545	340	345
546	341	344
547	341	344
548	342	343
549	342	342
550	343	341
551	343	341
552	344	340
553	344	339
554	345	339
555	345	338
556	346	337
557	346	336
558	347	336
559	348	335
560	348	334
561	349	334
562	349	333
563	350	332
564	350	332
565	351	331
566	352	330
567	352	330
568	353	329
569	353	328
570	354	328
571	354	327
572	355	326
573	355	326
574	356	325
575	357	324
576	357	324
577	358	323
578	358	322
579	359	322
580	360	321
581	360	320
582	361	320
583	361	319
584	362	318
585	362	318
586	363	317
587	363	316
588	364	316
589	364	315
590	365	314
591	366	314
592	366	313
593	367	312
594	368	312
595	368	311
596	369	311
597	370	310
598	371	310
599	371	309
600	372	309
601	373	308
602	374	308
603	374	307
604	375	307
605	376	306
606	377	306
607	377	305
608	378	305
609	379	304
610	379	303
611	380	303
612	381	302
613	382	302
614	382	301
615	383	301
616	384	300
617	385	300
618	385	299
619	386	299
620	387	298
621	387	298
622	388	297
623	389	297
624	390	296
625	391	296
626	391	295
627	392	295
628	393	294
629	394	294
630	395	293
631	396	293
632	397	292
633	397	292
634	398	291
635	399	291
636	400	290
637	400	290
638	401	289
639	402	289
640	403	288
641	403	288
642	404	287
643	405	287
644	406	286
645	407	286
646	407	285
647	408	284
648	409	284
649	409	283
650	410	283
651	411	282
652	412	282
653	412	281
654	413	281
655	414	280
656	415	280
657	416	279
658	416	278
659	417	278
660	418	277
661	419	277
662	419	276
663	420	276
664	421	275
665	422	275
666	423	274
667	423	274
668	424	273
669	425	273
670	426	272
671	427	272
672	427	271
673	428	270
674	429	270
675	430	269
676	431	269
677	431	268
678	432	268
679	433	267
680	434	267
681	435	266
682	435	266
683	436	265
684	437	265
685	438	264
686	439	264
687	439	263
688	440	262
689	441	262
690	442	261
691	443	261
692	443	260
693	444	260
694	445	259
695	446	258
696	446	258
697	447	257
698	448	257
699	449	256
700	450	256
701	451	255
702	451	255
703	452	254
704	453	254
705	454	253
706	455	253
707	456	252
708	457	252
709	457	251
710	458	250
711	459	250
712	460	249
713	461	249
714	461	248
715	462	248
716	463	247
717	464	247
718	465	246
719	465	245
720	466	245
721	467	244
722	468	244
723	468	243
724	469	242
725	470	242
726	471	241
727	471	241
728	472	240
729	473	240
730	474	239
731	475	238
732	476	238
733	476	237
734	477	237
735	478	236
736	479	236
737	480	235
738	480	234
739	481	234
740	482	233
741	482	233
742	483	232
743	484	231
744	485	231
745	486	230
746	486	230
747	487	229
748	488	228
749	489	228
750	490	227
751	491	227
752	491	226
753	492	226
754	493	225
755	494	224
756	495	224
757	496	223
758	497	223
759	497	222
760	498	222
761	499	221
762	500	220
763	500	220
764	501	219
765	502	219
766	503	218
767	504	217
768	504	217
769	505	216
770	506	216
771	507	215
772	507	214
773	508	214
774	509	213
775	510	213
776	511	212
777	511	211
778	512	211
779	513	210
780	514	210
781	515	209
782	516	209
783	516	208
784	517	207
785	518	207
786	519	206
787	520	206
788	521	205
789	522	204
790	522	204
791	523	203
792	524	203
793	525	202
794	526	201
795	527	201
796	528	200
797	528	200
798	529	199
799	530	198
800	531	198
801	532	197
802	532	197
803	533	196
804	534	195
805	535	195
806	536	194
807	536	194
808	537	193
809	538	192
810	539	192
811	540	191
812	541	191
813	541	190
814	542	189
815	543	189
816	544	188
817	545	188
818	546	187
819	547	186
820	548	186
821	548	185
822	549	185
823	550	184
824	551	183
825	552	183
826	553	182
827	553	181
828	554	181
829	555	180
830	556	180
831	557	179
832	557	178
833	558	178
834	559	177
835	560	176
836	561	176
837	561	175
838	562	175
839	563	174
840	564	173
841	565	173
842	565	172
843	566	171
844	567	171
845	568	170
846	568	169
847	569	169
848	570	168
849	571	168
850	572	167
851	572	166
852	573	166
853	574	165
854	575	164
855	575	164
856	576	163
857	577	162
858	578	162
859	579	161
860	579	160
861	580	160
862	581	159
863	582	159
864	583	158
865	584	157
866	584	157
867	585	156
868	586	155
869	587	155
870	588	154
871	589	154
872	589	153
873	590	152
874	591	152
875	592	151
876	593	150
877	593	150
878	594	149
879	595	148
880	596	148
881	597	147
882	598	147
883	599	146
884	599	145
885	600	145
886	601	144
887	602	143
888	602	143
889	603	142
890	604	141
891	605	141
892	605	140
893	606	139
894	607	139
895	608	138
896	609	137
897	609	137
898	610	136
899	611	135
900	612	135
901	612	134
902	613	133
903	614	133
904	615	132
905	615	131
906	616	131
907	617	130
908	618	129
909	619	129
910	620	128
911	620	128
912	621	127
913	622	126
914	623	126
915	624	125
916	625	124
917	625	124
918	626	123
919	627	122
920	628	122
921	629	121
922	629	120
923	630	120
924	631	119
925	632	118
926	633	118
927	633	117
928	634	116
929	635	116
930	636	115
931	636	114
932	637	114
933	638	113
934	639	112
935	640	112
936	641	111
937	641	110
938	642	110
939	643	109
940	644	108
941	644	108
942	645	107
943	646	106
944	647	106
945	648	105
946	648	104
947	649	104
948	650	103
949	651	102
950	652	102
951	653	101
952	653	100
953	654	100
954	655	99
955	656	98
956	657	98
957	657	97
958	658	96
959	659	96
960	660	95
961	660	94
962	661	94
963	662	93
964	663	92
965	664	92
966	664	91
967	665	90
968	666	90
969	667	89
970	668	88
971	668	88
972	669	87
973	670	86
974	671	86
975	671	85
976	672	84
977	673	84
978	674	83
979	675	82
980	675	81
981	676	81
982	677	80
983	678	79
984	679	79
985	679	78
986	681	77
987	681	77
988	682	76
989	683	75
990	684	75
991	685	74
992	685	73
993	686	73
994	687	72
995	688	71
996	689	71
997	690	70
998	690	69
999	691	69
1000	692	68
1001	693	67
1002	694	67
1003	694	66
1004	695	65
1005	696	65
1006	697	64
1007	698	63
1008	699	63
1009	700	62
1010	700	61
1011	701	61
1012	702	60
1013	703	59
1014	704	58
1015	705	58
1016	706	57
1017	706	56
1018	707	56
1019	708	55
1020	709	54
1021	709	54
1022	710	53
1023	711	52
1024	712	52
1025	712	51
1026	713	50
1027	714	50
1028	715	49
1029	716	48
1030	716	47
1031	717	47
1032	718	46
1033	719	45
1034	719	45
1035	720	44
1036	721	43
1037	722	43
1038	722	42
1039	723	41
1040	724	41
1041	725	40
1042	726	39
1043	726	38
1044	727	38
1045	728	37
1046	729	36
1047	729	36
1048	730	35
1049	731	34
1050	732	34
1051	733	33
1052	733	32
1053	734	32
1054	735	31
1055	736	30
1056	736	29
1057	737	29
1058	738	28
1059	738	27
1060	739	27
1061	740	26
1062	741	25
1063	741	25
1064	742	24
1065	743	23
1066	744	23
1067	745	22
1068	745	21
1069	746	20
1070	747	20
1071	748	19
1072	749	18
1073	750	18
1074	750	17
1075	751	16
1076	752	16
1077	753	15
1078	754	14
1079	754	13
1080	755	13
1081	756	12
1082	757	11
1083	758	11
1084	759	10
