iter	RMSE
0	0.3377554428
1	0.3344196824
2	0.3309844563
3	0.328211492
4	0.3251873568
5	0.3224038391
6	0.3195091751
7	0.3166615632
8	0.3138748272
9	0.3112577264
10	0.3084384271
11	0.3055403006
12	0.3030453733
13	0.300930825
14	0.2979184366
15	0.2955697609
16	0.2928679231
17	0.2900399327
18	0.2877252862
19	0.2854928114
20	0.2829306984
21	0.2805743433
22	0.2779879859
23	0.2758795409
24	0.2738605172
25	0.2716521926
26	0.2695735847
27	0.2678866061
28	0.2656575932
29	0.2637304961
30	0.2617208229
31	0.2600456138
32	0.2582109764
33	0.2558389629
34	0.2540555012
35	0.2521792381
36	0.2502999425
37	0.2482963537
38	0.246192209
39	0.2444549267
40	0.2428129084
41	0.2408385619
42	0.2395018745
43	0.237769237
44	0.2360592251
45	0.2344062395
46	0.2328409181
47	0.2311445216
48	0.2292220952
49	0.2277943808
50	0.2266059511
51	0.2251672453
52	0.2234810885
53	0.2219052345
54	0.2206189189
55	0.2193462302
56	0.2180077552
57	0.2165341676
58	0.2150404041
59	0.2136175048
60	0.2121415319
61	0.2109316826
62	0.2098294683
63	0.2084055294
64	0.207116863
65	0.2060438478
66	0.2047658511
67	0.2034390794
68	0.2024403802
69	0.2011965327
70	0.2002840197
71	0.1991603424
72	0.1981069694
73	0.1970898442
74	0.1961132498
75	0.1950561365
76	0.1938496318
77	0.19275983
78	0.1917227172
79	0.1910554317
80	0.1902763068
81	0.1892520735
82	0.1882574846
83	0.1874446928
84	0.1864383437
85	0.1854067846
86	0.1844492047
87	0.1834554869
88	0.182767678
89	0.1817210424
90	0.180803312
91	0.1801601843
92	0.1790738664
93	0.178011438
94	0.1770254655
95	0.1762554987
96	0.1754378485
97	0.1743794074
98	0.1734760404
99	0.1727106086
100	0.1719994039
101	0.1711883415
102	0.1703622449
103	0.1693658209
104	0.168799791
105	0.1680025433
106	0.1672761862
107	0.1665075595
108	0.1658577402
109	0.1652324991
110	0.1646501131
111	0.1639321432
112	0.1632542816
113	0.1625181563
114	0.1618617735
115	0.1611010658
116	0.1603958721
117	0.159717267
118	0.1590736743
119	0.1582998231
120	0.1576674989
121	0.1569279227
122	0.1560918738
123	0.155471764
124	0.155000486
125	0.154377955
126	0.153905088
127	0.153451672
128	0.1527624718
129	0.1521045237
130	0.1514516358
131	0.151022875
132	0.1506834827
133	0.1501597085
134	0.1497289399
135	0.1490843067
136	0.1484974992
137	0.1478491783
138	0.1470701955
139	0.1466403837
140	0.1461508767
141	0.1456927327
142	0.1450935118
143	0.1445591512
144	0.1440927402
145	0.1435171507
146	0.1430338727
147	0.142450555
148	0.1419434455
149	0.1412618903
150	0.1406902525
151	0.1402098445
152	0.1395931308
153	0.13913688
154	0.1386288526
155	0.1380561763
156	0.1374427973
157	0.1370356812
158	0.1365258404
159	0.1359415714
160	0.1355461047
161	0.1351421896
162	0.1346633938
163	0.1342621047
164	0.1338244928
165	0.1332847255
166	0.1329049121
167	0.1323538779
168	0.1318541619
169	0.1314432371
170	0.1311246849
171	0.1306009536
172	0.130237202
173	0.1299168341
174	0.12960087
175	0.1292601383
176	0.1288986938
177	0.1285218627
178	0.128017039
179	0.1276419442
180	0.1272797262
181	0.1269785949
182	0.1265869777
183	0.1262739276
184	0.1259229246
185	0.1257146649
186	0.125299162
187	0.125038928
188	0.124615442
189	0.1242983765
190	0.1239061199
191	0.1235531548
192	0.1231651328
193	0.1228681124
194	0.1225865326
195	0.1222479345
196	0.1219156947
197	0.121681469
198	0.1213181851
199	0.1210035383
200	0.1205138411
201	0.1200729628
202	0.1196484156
203	0.1192809153
204	0.11899524
205	0.1187367597
206	0.1184425699
207	0.1182375576
208	0.1179403446
209	0.1176180532
210	0.1172795991
211	0.1169812118
212	0.1167250892
213	0.1164853759
214	0.1163046078
215	0.1159057442
216	0.1157144406
217	0.115204963
218	0.1149326788
219	0.1145588198
220	0.1142445451
221	0.1138818998
222	0.1134595644
223	0.1131113619
224	0.1128551837
225	0.1126067701
226	0.1123699987
227	0.1120960505
228	0.1118484801
229	0.1114491754
230	0.1111589069
231	0.1108563684
232	0.1106466898
233	0.1103400707
234	0.1100428985
235	0.1097891417
236	0.1094987882
237	0.1092465663
238	0.1090304258
239	0.1087054533
240	0.1083694558
241	0.1081431242
242	0.1078039736
243	0.1075707405
244	0.1071797113
245	0.1069143666
246	0.1066628472
247	0.1063754642
248	0.1060900941
249	0.1059135444
250	0.1057139874
251	0.1054571309
252	0.1050521051
253	0.1047989388
254	0.1045528277
255	0.1042193431
256	0.1040347764
257	0.1038428563
258	0.1036416873
259	0.1034998765
260	0.1033269131
261	0.1030203572
262	0.1027448616
263	0.1025127642
264	0.102278268
265	0.102071391
266	0.1018210083
267	0.1016706452
268	0.1014454767
269	0.1012617161
270	0.1010169375
271	0.1008023197
272	0.1005405714
273	0.1004032609
274	0.1002186856
275	0.09998118102
276	0.09970313642
277	0.09946264788
278	0.09913993503
279	0.09875624927
280	0.09853264281
281	0.09815690131
282	0.09797715807
283	0.09773219083
284	0.09757635976
285	0.09730597219
286	0.09703842901
287	0.09686185864
288	0.09659800468
289	0.09630245029
290	0.09606131717
291	0.09576306205
292	0.09561866849
293	0.09539116309
294	0.09514835063
295	0.09498027629
296	0.09464259381
297	0.0943031074
298	0.09399005335
299	0.09384008565
300	0.09354177144
301	0.09328665062
302	0.09303987519
303	0.0927019943
304	0.09250497407
305	0.09232391224
306	0.09215717195
307	0.09202914835
308	0.09180565853
309	0.09164667896
310	0.09138883925
311	0.091266721
312	0.09098826038
313	0.09080355196
314	0.09068583078
315	0.09052988293
316	0.09032990719
317	0.09008108344
318	0.08993153253
319	0.08969463266
320	0.08949801517
321	0.08932894915
322	0.08918839344
323	0.08906486697
324	0.08894310158
325	0.088750781
326	0.08866430699
327	0.0885589794
328	0.08822075758
329	0.08808475141
330	0.08785542366
331	0.08773358265
332	0.08760674298
333	0.08731767305
334	0.08709404424
335	0.08699864715
336	0.08678134807
337	0.08656391745
338	0.08646986653
339	0.086283566
340	0.08610235943
341	0.08589127156
342	0.08579161074
343	0.08551527604
344	0.0853260516
345	0.08507799347
346	0.08494934217
347	0.08471169952
348	0.08459218028
349	0.0843880857
350	0.08412376389
351	0.0838559034
352	0.08376256069
353	0.08353491494
354	0.08326792372
355	0.08317162431
356	0.08292740056
357	0.08272170152
358	0.08253511924
359	0.082406409
360	0.08223654993
361	0.08201654042
362	0.08192699565
363	0.08172320406
364	0.0815781828
365	0.08144882453
366	0.08142132901
367	0.08121593504
368	0.08098065088
369	0.08087609293
370	0.08071683758
371	0.0804632762
372	0.08025405461
373	0.08015616603
374	0.07990346684
375	0.07979640756
376	0.07971494438
377	0.07961194863
378	0.07938366001
379	0.07918683964
380	0.07896564703
381	0.07886847837
382	0.07865500015
383	0.07857288797
384	0.07840985487
385	0.07817697489
386	0.07809898884
387	0.07790377915
388	0.07765915726
389	0.07762880065
390	0.07740767296
391	0.07732190168
392	0.07723498985
393	0.07702679134
394	0.07694450346
395	0.07686471348
396	0.07662582869
397	0.07658319251
398	0.07637876083
399	0.0762984585
400	0.07627049371
401	0.07604951233
402	0.07599019368
403	0.07582643479
404	0.0756471409
405	0.07556678889
406	0.07549684013
407	0.07531895043
408	0.07515875983
409	0.07506446837
410	0.07495036122
411	0.07478483387
412	0.07467693376
413	0.07461764397
414	0.07458806639
415	0.0744909319
416	0.07430189735
417	0.07404853504
418	0.07398147365
419	0.07391253609
420	0.07383528079
421	0.07365471722
422	0.07360540872
423	0.0735352115
424	0.07346126798
425	0.07343527878
426	0.07323393715
427	0.073193801
428	0.07313457927
429	0.07295684233
430	0.07276773661
431	0.07258441803
432	0.07238771587
433	0.0722910484
434	0.07209350111
435	0.07206618724
436	0.07203998553
437	0.07191338747
438	0.07185106139
439	0.07176650203
440	0.0716674672
441	0.07159180058
442	0.07150717899
443	0.07141826076
444	0.07139629871
445	0.07117110195
446	0.07094299105
447	0.07091880621
448	0.07089562924
449	0.07065543591
450	0.070549658
451	0.0705022609
452	0.07043357025
453	0.07038757236
454	0.07036368629
455	0.07032855018
456	0.07030466016
457	0.07019029914
458	0.07000057979
459	0.06976724007
460	0.0695962964
461	0.06951552381
462	0.06945398071
463	0.06942892308
464	0.06938260355
465	0.06929505289
466	0.06923873877
467	0.06903253318
468	0.06901082486
469	0.0688532151
470	0.06880058183
471	0.06877765194
472	0.06875492995
473	0.06856753653
474	0.06854324676
475	0.06835146073
476	0.0683262023
477	0.06826968816
478	0.06807495377
479	0.06804980193
480	0.06801124934
481	0.06786753162
482	0.0678129239
483	0.06778936633
484	0.06776601412
485	0.06760852449
486	0.06750002974
487	0.06735934813
488	0.06733060443
489	0.06730286662
490	0.06728134866
491	0.0672600263
492	0.06723864663
493	0.06717203973
494	0.06711878401
495	0.06690915752
496	0.06684874185
497	0.0668223613
498	0.0666983193
499	0.06666651242
500	0.06658976306
501	0.06655465095
502	0.06650245742
503	0.06632798946
504	0.06620607385
505	0.06613481674
506	0.06611441811
507	0.06609483613
508	0.06607460507
509	0.06592886391
510	0.06590099506
511	0.06584151295
512	0.06582178252
513	0.06579117847
514	0.06576702653
515	0.06570491766
516	0.06565455376
517	0.06548486374
518	0.06542481975
519	0.06540099459
520	0.06538055711
521	0.06522454534
522	0.06519857168
523	0.06506488542
524	0.06498333165
525	0.06495776163
526	0.06491723832
527	0.06481445053
528	0.06464784382
529	0.06458997966
530	0.06439325029
531	0.06431519316
532	0.06429761547
533	0.06427505887
534	0.06414525605
535	0.06402487999
536	0.06387863007
537	0.06386026672
538	0.06369835837
539	0.0635141913
540	0.06341762826
541	0.06338882573
542	0.06336033397
543	0.06324192591
544	0.06312711107
545	0.06309389579
546	0.06292682386
547	0.06282671028
548	0.06280610352
549	0.06266923323
550	0.06265072779
551	0.06256140365
552	0.06245580993
553	0.06243958865
554	0.06239061071
555	0.06228380869
556	0.06219602436
557	0.06217618945
558	0.06201683864
559	0.06191071917
560	0.06184285602
561	0.06178076364
562	0.06176277895
563	0.06174495281
564	0.06163856943
565	0.0615839572
566	0.0614665419
567	0.06135984576
568	0.06132284376
569	0.06130303771
570	0.06127477052
571	0.0611987663
572	0.06110754227
573	0.06093368375
574	0.06080045113
575	0.06074265546
576	0.06071501502
577	0.06061354193
578	0.06059671465
579	0.06057079481
580	0.06045991136
581	0.06040354737
582	0.0603407137
583	0.0602416086
584	0.0601489687
585	0.06009882853
586	0.06000743973
587	0.05998823989
588	0.05984360972
589	0.05977503045
590	0.05964434948
591	0.05959123224
592	0.05956795601
593	0.05952316509
594	0.05947674421
595	0.05946044945
596	0.05940078986
597	0.05928951099
598	0.0591597494
599	0.0591437497
600	0.05901739767
601	0.0589912741
602	0.05892124443
603	0.05882481199
604	0.05880832086
605	0.05876923676
606	0.05874935774
607	0.05871967003
608	0.0586978907
609	0.05863236579
610	0.05858706093
611	0.05853142511
612	0.05850021053
613	0.05836967261
614	0.05823918534
615	0.05817751244
616	0.05815788005
617	0.05803858837
618	0.05797351292
619	0.05792214727
620	0.05779739537
621	0.05772999344
622	0.05771230491
623	0.05763205622
624	0.05754112535
625	0.05742250268
626	0.05736260062
627	0.05728001394
628	0.05718200769
629	0.05714441497
630	0.05711951478
631	0.05703662554
632	0.05701931256
633	0.05697744932
634	0.05693662512
635	0.05691779116
636	0.05690083249
637	0.05687757438
638	0.05677105187
639	0.05670544295
640	0.05666389991
641	0.0566454437
642	0.05659935742
643	0.05656016346
644	0.05651779246
645	0.05650350226
646	0.05647852634
647	0.05645875589
648	0.05644492641
649	0.05639756841
650	0.05634635589
651	0.05631137046
652	0.05629524331
653	0.05624748644
654	0.0561903117
655	0.05613088187
656	0.05601932103
657	0.05594423645
658	0.05589615824
659	0.05579414454
660	0.05577528542
661	0.05575502934
662	0.05573328042
663	0.05571529877
664	0.05563301543
665	0.05561692794
666	0.05558799567
667	0.05557234234
668	0.05555833808
669	0.05542537914
670	0.05539590292
671	0.05538017004
672	0.05528108224
673	0.0552589565
674	0.05520208089
675	0.05518720146
676	0.05509483193
677	0.05498494174
678	0.05494782954
679	0.05492209054
680	0.05490077142
681	0.05487924254
682	0.05481803571
683	0.05469073156
684	0.05466951387
685	0.05454506262
686	0.05451414879
687	0.05439300332
688	0.05433930183
689	0.05432692785
690	0.05429342895
691	0.05420309584
692	0.05414937342
693	0.05410601302
694	0.05400569863
695	0.05396529929
696	0.05393485866
697	0.0539147229
698	0.05380823432
699	0.05370995349
700	0.05360600184
701	0.05351230266
702	0.05348583734
703	0.05346470343
704	0.05332850497
705	0.05331265467
706	0.05329230297
707	0.05320376116
708	0.0531683793
709	0.05307938487
710	0.05306594659
711	0.05295413077
712	0.05292721991
713	0.05290953329
714	0.05288373313
715	0.05286395395
716	0.05275201614
717	0.05273732446
718	0.05267723264
719	0.05265774294
720	0.05262125769
721	0.05256716448
722	0.05254833071
723	0.05247756559
724	0.05246147685
725	0.05243654014
726	0.05233702917
727	0.05224137319
728	0.05222038619
729	0.05220164357
730	0.05208418169
731	0.05203272526
732	0.05201995887
733	0.05197763592
734	0.05196208652
735	0.05194376836
736	0.05185571244
737	0.0517683953
738	0.05175030472
739	0.05162977891
740	0.05159215132
741	0.05157722468
742	0.05153194116
743	0.0515046453
744	0.05140970945
745	0.05139173358
746	0.05133070658
747	0.05120643997
748	0.05110881233
749	0.05109098232
750	0.05098265327
751	0.05096885635
752	0.05088557186
753	0.0507816594
754	0.0507653901
755	0.050726539
756	0.05070931206
757	0.05069122362
758	0.05066824653
759	0.05056925089
760	0.05048881353
761	0.05047553218
762	0.05037282511
763	0.0503467256
764	0.05024670351
765	0.05015862118
766	0.05014451446
767	0.05010320809
768	0.05008974146
769	0.05007309625
770	0.05000948933
771	0.04999223441
772	0.04990499606
