iter	Passed	Remaining
0	0	1205
1	1	1051
2	2	1022
3	2	1015
4	3	986
5	4	1003
6	4	992
7	5	989
8	6	977
9	6	952
10	7	929
11	7	909
12	8	906
13	9	913
14	9	912
15	10	908
16	11	918
17	11	908
18	12	901
19	13	897
20	13	908
21	14	905
22	15	936
23	16	954
24	17	963
25	18	971
26	19	979
27	20	981
28	20	986
29	21	989
30	22	994
31	23	989
32	23	991
33	24	985
34	25	979
35	25	979
36	26	978
37	27	974
38	27	971
39	28	970
40	29	971
41	29	966
42	30	967
43	31	970
44	32	968
45	32	966
46	33	971
47	34	970
48	35	971
49	35	970
50	36	961
51	37	959
52	37	958
53	38	955
54	39	956
55	39	957
56	40	957
57	41	959
58	42	956
59	42	952
60	43	953
61	44	951
62	44	951
63	45	949
64	46	949
65	46	946
66	47	942
67	48	940
68	48	937
69	49	937
70	49	934
71	50	933
72	51	931
73	51	931
74	52	933
75	53	930
76	54	931
77	55	935
78	55	933
79	56	931
80	57	932
81	58	933
82	58	933
83	59	931
84	60	930
85	60	931
86	61	933
87	62	932
88	63	931
89	63	931
90	64	928
91	65	927
92	65	925
93	66	924
94	67	923
95	67	922
96	68	920
97	69	917
98	69	914
99	70	913
100	70	911
101	71	911
102	72	910
103	73	910
104	73	907
105	74	907
106	74	905
107	75	904
108	76	903
109	76	902
110	77	902
111	78	903
112	79	902
113	79	902
114	80	902
115	81	901
116	82	900
117	82	900
118	83	900
119	84	898
120	84	898
121	85	899
122	86	897
123	87	897
124	87	897
125	88	896
126	89	895
127	90	895
128	90	894
129	91	893
130	92	895
131	93	894
132	93	894
133	94	895
134	95	894
135	96	894
136	97	894
137	97	894
138	98	892
139	98	890
140	99	891
141	100	890
142	101	891
143	102	891
144	103	891
145	103	891
146	104	889
147	105	889
148	105	889
149	106	889
150	107	888
151	108	889
152	109	890
153	109	889
154	110	888
155	111	887
156	112	887
157	112	886
158	113	885
159	114	885
160	114	884
161	115	883
162	116	882
163	116	881
164	117	880
165	118	880
166	119	880
167	120	880
168	120	880
169	121	881
170	122	881
171	123	880
172	124	879
173	124	879
174	125	878
175	126	879
176	127	877
177	127	877
178	128	876
179	129	875
180	129	874
181	130	873
182	131	873
183	132	872
184	132	871
185	133	871
186	134	870
187	135	870
188	136	871
189	136	871
190	137	872
191	138	872
192	139	871
193	140	870
194	140	870
195	141	869
196	142	869
197	143	868
198	143	866
199	144	866
200	144	864
201	145	864
202	146	862
203	147	861
204	147	860
205	148	860
206	149	860
207	150	860
208	150	858
209	151	857
210	152	857
211	152	856
212	153	854
213	154	854
214	154	852
215	155	851
216	156	851
217	156	850
218	157	849
219	158	848
220	158	848
221	159	846
222	160	845
223	160	844
224	161	843
225	162	842
226	162	841
227	163	840
228	164	839
229	164	838
230	165	837
231	166	836
232	166	836
233	167	835
234	168	834
235	169	833
236	169	833
237	170	832
238	171	833
239	172	832
240	172	831
241	173	830
242	174	829
243	174	828
244	175	826
245	176	826
246	176	825
247	177	824
248	178	823
249	178	822
250	179	821
251	180	820
252	180	819
253	181	819
254	182	818
255	182	817
256	183	816
257	184	815
258	184	814
259	185	814
260	186	813
261	186	811
262	187	811
263	188	810
264	188	809
265	189	808
266	190	808
267	191	807
268	191	806
269	192	805
270	193	804
271	193	803
272	194	802
273	195	801
274	195	800
275	196	799
276	196	798
277	197	797
278	198	795
279	198	795
280	199	794
281	200	793
282	200	792
283	201	792
284	202	791
285	203	790
286	203	789
287	204	789
288	205	788
289	205	788
290	206	787
291	207	786
292	207	785
293	208	785
294	209	784
295	210	783
296	210	783
297	211	782
298	212	782
299	213	782
300	213	781
