iter	Passed	Remaining
0	0	1210
1	1	1036
2	2	1092
3	3	1049
4	3	1067
5	4	1065
6	5	1064
7	6	1058
8	6	1056
9	7	1054
10	8	1039
11	8	1028
12	9	1030
13	10	1021
14	11	1024
15	11	1016
16	12	1024
17	13	1020
18	14	1018
19	14	1020
20	15	1029
21	16	1029
22	17	1021
23	17	1017
24	18	1016
25	19	1010
26	19	1005
27	20	1009
28	21	1004
29	21	1003
30	22	1005
31	23	1000
32	24	1008
33	25	1006
34	25	1006
35	26	1006
36	27	1008
37	28	1006
38	28	1002
39	29	1001
40	30	999
41	30	997
42	31	993
43	32	992
44	32	987
45	33	984
46	34	981
47	34	979
48	35	980
49	36	984
50	36	978
51	37	978
52	38	979
53	39	978
54	39	976
55	40	976
56	41	977
57	42	975
58	42	972
59	43	973
60	44	972
61	45	973
62	45	971
63	46	972
64	47	969
65	47	965
66	48	962
67	49	963
68	49	961
69	50	959
70	51	958
71	51	954
72	52	953
73	53	950
74	53	946
75	54	943
76	54	943
77	55	942
78	56	942
79	57	941
80	57	942
81	58	940
82	59	940
83	60	942
84	60	940
85	61	937
86	62	936
87	62	937
88	63	936
89	64	936
90	65	936
91	65	934
92	66	934
93	67	932
94	67	930
95	68	929
96	69	927
97	69	924
98	70	921
99	70	920
100	71	917
101	71	915
102	72	912
103	72	909
104	73	906
105	74	903
106	74	900
107	75	900
108	75	897
109	76	896
110	76	893
111	77	892
112	78	890
113	78	888
114	79	886
115	79	884
116	80	884
117	81	881
118	81	880
119	82	878
120	82	876
121	83	875
122	84	874
123	84	873
124	85	871
125	86	870
126	86	868
127	87	866
128	87	865
129	88	863
130	89	862
131	89	860
132	90	858
133	90	857
134	91	856
135	92	855
136	92	854
137	93	853
138	93	851
139	94	850
140	95	849
141	95	848
142	96	847
143	96	845
144	97	844
145	98	842
146	98	841
147	99	840
148	99	838
149	100	837
150	101	836
151	101	835
152	102	833
153	102	832
154	103	831
155	104	830
156	104	829
157	105	827
158	105	826
159	106	825
160	107	824
161	107	822
162	108	821
163	108	819
164	109	819
165	110	818
166	110	816
167	111	815
168	111	813
169	112	812
170	112	811
171	113	811
172	114	809
173	114	809
174	115	809
175	116	808
176	116	807
177	117	806
178	118	805
179	118	804
180	119	802
181	119	801
182	120	800
183	120	798
184	121	797
185	122	796
186	122	795
187	123	795
188	123	793
189	124	793
190	125	792
191	125	791
192	126	790
193	127	790
194	127	790
195	128	790
196	129	789
197	129	787
198	130	787
199	131	787
200	131	786
201	132	785
202	133	785
203	133	784
204	134	783
205	134	782
206	135	781
207	136	781
208	136	780
209	137	780
210	138	780
211	139	779
212	139	779
213	140	778
214	141	779
215	142	778
216	142	777
217	143	776
218	143	775
219	144	774
220	145	774
221	145	773
222	146	773
223	147	772
224	147	771
225	148	770
226	149	770
227	149	769
228	150	769
229	151	769
230	151	768
231	152	767
232	153	767
233	153	767
234	154	766
235	155	766
236	155	765
237	156	764
238	157	763
239	157	762
240	158	762
241	159	760
242	159	759
243	160	759
244	160	758
245	161	757
246	161	756
247	162	755
248	163	754
249	163	753
250	164	752
251	164	751
252	165	750
253	166	749
254	166	747
255	167	747
256	167	746
257	168	745
258	169	745
259	169	744
260	170	743
261	171	743
262	171	743
263	172	743
264	173	742
265	174	741
266	174	742
267	175	741
268	176	741
269	177	741
270	177	740
271	178	740
272	179	739
273	179	738
274	180	738
275	181	738
276	182	738
277	182	737
278	183	737
279	184	736
280	184	736
281	185	735
282	186	734
283	186	734
284	187	733
285	188	732
286	188	732
287	189	731
288	190	730
289	190	729
290	191	729
291	191	728
292	192	727
293	193	727
294	193	726
295	194	725
296	195	725
297	195	724
298	196	723
299	197	723
300	197	722
301	198	722
302	199	721
303	200	721
304	200	721
305	201	720
306	202	720
307	203	720
308	203	719
309	204	718
310	205	718
311	205	717
312	206	717
313	207	716
314	207	716
315	208	715
316	209	714
317	209	713
318	210	712
319	211	712
320	211	711
321	212	710
322	212	709
323	213	709
324	214	709
325	215	708
326	215	708
327	216	707
328	217	706
329	217	706
330	218	706
331	219	705
332	220	705
333	220	705
334	221	704
335	222	703
336	222	703
337	223	702
