DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,AD(kg/m3)
100100000,31.25,410,4.438890192,1000,18,105.2631579,1.052631579,5.263157895,0.736842105,0.058479532,2.464,98.77838374,0.9,48.7,128.2342,15,480,10000,300.839745,82.3
100100000,31.25,410,4.430267585,1000,18,100,1,5,0.7,0.055555556,2.464,98.8079342,0.95,50,125.2283,15,480,10000,303.314815,77.9
100100000,31.25,410,4.367690267,1000,18,94.33962264,0.943396226,4.716981132,0.660377358,0.052410901,2.464,98.84156088,1,51.5,122.3211,15,480,10000,297.74546,75.3
100100000,31.25,410,4.346415583,1000,18,90.09009009,0.900900901,4.504504505,0.630630631,0.05005005,2.464,98.8681672,1.05,52.6,124.2825,15,480,10000,288.77265,69
100100000,31.25,410,4.288975878,1000,18,86.20689655,0.862068966,4.310344828,0.603448276,0.04789272,2.464,98.89357881,1.1,53.7,126.3068,15,480,10000,278.238315,59.4
100100000,31.25,410,4.305843137,1000,18,93.45794393,0.46728972,4.672897196,0.654205607,0.02596054,1.232,99.42213884,1.05,51.7,122.2186,15,480,10000,297.540175,85
100100000,31.25,410,4.346415583,1000,18,90.09009009,0.900900901,4.504504505,0.630630631,0.05005005,2.464,98.8681672,1.05,52.6,124.2825,15,480,10000,288.77265,69
100100000,31.25,410,4.327918973,1000,18,86.95652174,1.304347826,4.347826087,0.608695652,0.072463768,3.652,98.35643564,1.05,53.5,126.6373,15,480,10000,281.55829,63
100100000,31.25,410,4.350360502,1000,18,84.03361345,1.680672269,4.201680672,0.588235294,0.093370682,4.84,97.86501985,1.05,54.3,122.6426,15,480,10000,293.547145,60
100100000,31.25,410,4.373104685,1000,18,81.30081301,2.032520325,4.06504065,0.569105691,0.112917796,6.16,97.33564014,1.05,55.2,123.103,15,480,10000,303.714755,50
100100000,31.25,410,4.331364794,1000,18,90.09009009,0.900900901,0.900900901,0.630630631,0.05005005,2.464,98.84698175,1.05,52.6,120.7618,15,480,10000,255.328825,
100100000,31.25,410,4.366325341,1000,18,90.09009009,0.900900901,2.702702703,0.630630631,0.05005005,2.464,98.85767269,1.05,52.6,118.7832,15,480,10000,296.696945,
100100000,31.25,410,4.346415583,1000,18,90.09009009,0.900900901,4.504504505,0.630630631,0.05005005,2.464,98.8681672,1.05,52.6,124.2825,15,480,10000,288.77265,69
100100000,31.25,410,4.3881245,1000,18,90.09009009,0.900900901,6.306306306,0.630630631,0.05005005,2.464,98.87847064,1.05,52.6,122.6325,15,480,10000,295.8679,81
100100000,31.25,410,4.384554089,1000,18,90.09009009,0.900900901,8.108108108,0.630630631,0.05005005,2.464,98.88858818,1.05,52.6,122.9917,15,480,10000,295.408255,
100100000,31.25,410,4.371857993,1000,18,90.09009009,0.900900901,4.504504505,0.09009009,0.05005005,2.464,98.86503915,1.05,52.6,127.3045,15,480,10000,295.86777,
100100000,31.25,410,4.394316145,1000,18,90.09009009,0.900900901,4.504504505,0.27027027,0.05005005,2.464,98.86608376,1.05,52.6,125.1309,15,480,10000,294.75205,
100100000,31.25,410,4.372835525,1000,18,90.09009009,0.900900901,4.504504505,0.45045045,0.05005005,2.464,98.86712644,1.05,52.6,124.7755,15,480,10000,294.28403,82
100100000,31.25,410,4.346415583,1000,18,90.09009009,0.900900901,4.504504505,0.630630631,0.05005005,2.464,98.8681672,1.05,52.6,124.2825,15,480,10000,288.77265,69
100100000,31.25,410,4.380812261,1000,18,90.09009009,0.900900901,4.504504505,0.810810811,0.05005005,2.464,98.86920606,1.05,52.6,117.9739,15,480,10000,295.31165,82
110010000,31,405,3.88,1000,18,78.43137255,0.941176471,1.176470588,1.490196078,0.052287582,2.948,98.72985782,1.1,56,68.4669,4,0,100000,206.34406,
110010000,31,378.1506849,3.861541096,1000,18,85.61643836,1.02739726,1.284246575,1.626712329,0.057077626,2.948,98.66847335,1.1,53.9,60.8995,4,0,100000,219.152825,
110010000,31,344.6923077,3.838538462,1000,18,94.16195857,1.129943503,1.412429379,1.789077213,0.062774639,2.948,98.60151803,1.1,51.5,57.6751,4,0,100000,220.683995,
110010000,31,301.8421053,3.809078947,1000,18,104.6025105,1.255230126,1.569037657,1.987447699,0.069735007,2.948,98.52747253,1.1,48.9,49.4413,4,0,100000,223.542825,83
110010000,31,245,3.77,1000,18,117.6470588,1.411764706,1.764705882,2.235294118,0.078431373,2.948,98.44514768,1.1,45.9,55.1067,4,0,100000,214.67893,80
110010000,31,379.1603261,3.480183424,1000,18,85.03401361,1.020408163,1.275510204,1.615646259,0.056689342,2.948,98.67326733,1.1,54,64.9212,4,0,100000,214.9772,
110010000,31,347.5438066,2.990981873,1000,18,92.76437848,1.113172542,1.391465677,1.762523191,0.061842919,2.948,98.61205273,1.1,51.9,62.8095,4,0,100000,224.65437,
110010000,31,307.9693878,2.378647959,1000,18,102.0408163,1.224489796,1.530612245,1.93877551,0.068027211,2.948,98.54491609,1.1,49.5,58.4521,4,0,100000,228.216,
110010000,31,257,1.59,1000,18,113.507378,1.362088536,1.70261067,2.156640182,0.075671585,2.948,98.47016087,1.1,46.8,63.449,4,0,100000,227.21752,
100010000,31,290,2.9,1001,28.83,62.89308176,6.289308176,1.257861635,1.257861635,0.174703005,17.32,93.65567766,1.05,61.38996139,125.282,11.6231,0,100100,170,31.3
100010000,31,290,2.9,1001,28.83,41.84100418,4.184100418,0.836820084,0.836820084,0.116225012,17.32,95.09348442,1.5,70.50147493,157.987,13.5892,0,100100,223,34
100010000,31,290,2.9,1001,28.83,31.34796238,3.134796238,0.626959248,0.626959248,0.087077673,17.32,96,2,76.13365155,173.9743,15.2587,0,100100,265,37.6
100010000,31,290,2.9,1001,28.83,25.12562814,2.512562814,0.502512563,0.502512563,0.069793412,17.32,96.6171875,2.5,79.91967871,173.8592,15.401,0,100100,261,44.6
110000000,31.347565,425,4.956186549,100,18,77.29468599,1.54589372,1.54589372,0.38647343,0.085882984,3.778851315,97.9,1.1,56.4,500.6984,10.2868,565.9512,10000,275,
110000000,31.25,431.4781309,4.288702036,1001,65.6,100,11,3,1,0.123781676,12.46,94.6,1.15,53.3,300,10,456,100100,450,45.7
110000000,31.25,430,4.163148433,1000,18,74.07407407,1.481481481,1.481481481,3.333333333,0.082304527,4.888888889,98,1.153871,57.4,43.4534,11.6079,285,101001,450,49.18
