DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,CS_rate,CS_TD,Closed_CC,CS(KPa)
100100000,31.25,410,5.153491614,1000,18,105.2631579,1.052631579,5.263157895,0.736842105,0.058479532,2.464,98.77838374,0.9,48.7,127.304,15,480,10000,265.677198,0.002220169,1,83.102045,347
100100000,31.25,410,5.133323931,1000,18,100,1,5,0.7,0.055555556,2.464,98.8079342,0.95,50,133.8615,15,480,10000,267.0357869,0.002225204,1,82.936001,422
100100000,31.25,410,5.152659691,1000,18,94.33962264,0.943396226,4.716981132,0.660377358,0.052410901,2.464,98.84156088,1,51.5,133.733,15,480,10000,261.6616829,0.002222039,1,83.044071,480
100100000,31.25,410,5.167921034,1000,18,90.09009009,0.900900901,4.504504505,0.630630631,0.05005005,2.464,98.8681672,1.05,52.6,137.872,15,480,10000,257.2406053,0.002185934,1,82.846574,482
100100000,31.25,410,5.172593436,1000,18,86.20689655,0.862068966,4.310344828,0.603448276,0.04789272,2.464,98.89357881,1.1,53.7,138.472,15,480,10000,263.9523575,0.002184648,1,82.6626,463
100100000,31.25,410,5.156466432,1000,18,93.45794393,0.46728972,4.672897196,0.654205607,0.02596054,1.232,99.42213884,1.05,51.7,136.0215,15,480,10000,268.3311454,0.002230016,1,82.942594,492
100100000,31.25,410,5.167921034,1000,18,90.09009009,0.900900901,4.504504505,0.630630631,0.05005005,2.464,98.8681672,1.05,52.6,137.872,15,480,10000,257.2406053,0.002185934,1,82.846574,484
100100000,31.25,410,5.207000547,1000,18,86.95652174,1.304347826,4.347826087,0.608695652,0.072463768,3.652,98.35643564,1.05,53.5,132.9435,15,480,10000,260.8000878,0.002183393,1,83.00374,348
100100000,31.25,410,5.230116922,1000,18,84.03361345,1.680672269,4.201680672,0.588235294,0.093370682,4.84,97.86501985,1.05,54.3,133.3145,15,480,10000,269.9266487,0.002170796,1,82.582062,
100100000,31.25,410,5.25778532,1000,18,81.30081301,2.032520325,4.06504065,0.569105691,0.112917796,6.16,97.33564014,1.05,55.2,134.163,15,480,10000,272.4758982,0.002178992,1,83.188284,149
100100000,31.25,410,5.192503554,1000,18,90.09009009,0.900900901,0.900900901,0.630630631,0.05005005,2.464,98.84698175,1.05,52.6,137.5425,15,480,10000,207.8367012,0.001698288,1,82.859501,444
100100000,31.25,410,5.151898099,1000,18,90.09009009,0.900900901,2.702702703,0.630630631,0.05005005,2.464,98.85767269,1.05,52.6,135.5915,15,480,10000,255.034458,0.00172549,1,82.846574,454
100100000,31.25,410,5.167921034,1000,18,90.09009009,0.900900901,4.504504505,0.630630631,0.05005005,2.464,98.8681672,1.05,52.6,137.872,15,480,10000,257.2406053,0.002185934,1,82.846574,482
100100000,31.25,410,5.186033459,1000,18,90.09009009,0.900900901,6.306306306,0.630630631,0.05005005,2.464,98.87847064,1.05,52.6,132.9655,15,480,10000,261.935652,0.002183659,1,82.992871,
100100000,31.25,410,5.191677682,1000,18,90.09009009,0.900900901,8.108108108,0.630630631,0.05005005,2.464,98.88858818,1.05,52.6,133.275,15,480,10000,266.1655011,0.002185185,1,82.985839,
100100000,31.25,410,5.159559783,1000,18,90.09009009,0.900900901,4.504504505,0.09009009,0.05005005,2.464,98.86503915,1.05,52.6,133.672,15,480,10000,263.9726878,0.002193706,1,83.16717,414
100100000,31.25,410,5.167702001,1000,18,90.09009009,0.900900901,4.504504505,0.27027027,0.05005005,2.464,98.86608376,1.05,52.6,133.672,15,480,10000,260.136118,0.002192129,1,83.094036,444
100100000,31.25,410,5.169778816,1000,18,90.09009009,0.900900901,4.504504505,0.45045045,0.05005005,2.464,98.86712644,1.05,52.6,133.672,15,480,10000,259.0306053,0.002185934,1,83.122867,474
100100000,31.25,410,5.167921034,1000,18,90.09009009,0.900900901,4.504504505,0.630630631,0.05005005,2.464,98.8681672,1.05,52.6,137.872,15,480,10000,257.2406053,0.002185934,1,82.846574,482
100100000,31.25,410,5.146940162,1000,18,90.09009009,0.900900901,4.504504505,0.810810811,0.05005005,2.464,98.86920606,1.05,52.6,133.255,15,480,10000,256.1754304,0.002185934,1,83.10386,490
110010000,31,405,3.88,1000,18,78.43137255,0.941176471,1.176470588,1.490196078,0.052287582,2.948,98.72985782,1.1,56,112.5035,4,0,100000,113.7118026,0.001707528,1,94,
110010000,31,378.1506849,3.861541096,1000,18,85.61643836,1.02739726,1.284246575,1.626712329,0.057077626,2.948,98.66847335,1.1,53.9,113.17,4,0,100000,111.7659986,0.001704373,1,94,
110010000,31,344.6923077,3.838538462,1000,18,94.16195857,1.129943503,1.412429379,1.789077213,0.062774639,2.948,98.60151803,1.1,51.5,110.638,4,0,100000,110.5322042,0.001728073,1,92,
110010000,31,301.8421053,3.809078947,1000,18,104.6025105,1.255230126,1.569037657,1.987447699,0.069735007,2.948,98.52747253,1.1,48.9,102.07,4,0,100000,113.8044094,0.001722955,1,93,
