DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,AB_Mix_t,Q,Cata_Code,MCS,TC_Method,TC_T,Closed_CC,TC
100100000,31.25,410,4.286259882,1000,18,105.2631579,1.052631579,5.263157895,0.736842105,0.058479532,2.464,98.77838374,0.9,48.7,15,480,10000,227.95477,0,296.7647,71.006715,
100100000,31.25,410,4.305822975,1000,18,100,1,5,0.7,0.055555556,2.464,98.8079342,0.95,50,15,480,10000,237.63407,0,296.7179,71.051814,
100100000,31.25,410,4.340994891,1000,18,94.33962264,0.943396226,4.716981132,0.660377358,0.052410901,2.464,98.84156088,1,51.5,15,480,10000,240.84904,0,296.45,70.885567,
100100000,31.25,410,4.364782653,1000,18,90.09009009,0.900900901,4.504504505,0.630630631,0.05005005,2.464,98.8681672,1.05,52.6,15,480,10000,240.34496,0,295.625,71.665538,38.93
100100000,31.25,410,4.308186884,1000,18,86.20689655,0.862068966,4.310344828,0.603448276,0.04789272,2.464,98.89357881,1.1,53.7,15,480,10000,242.37321,0,294.91945,73.183138,34.9
100100000,31.25,410,4.305302163,1000,18,93.45794393,0.46728972,4.672897196,0.654205607,0.02596054,1.232,99.42213884,1.05,51.7,15,480,10000,250.30473,0,295.6169,71.693363,
100100000,31.25,410,4.364782653,1000,18,90.09009009,0.900900901,4.504504505,0.630630631,0.05005005,2.464,98.8681672,1.05,52.6,15,480,10000,240.34496,0,295.625,71.602626,38.99
100100000,31.25,410,4.462086634,1000,18,86.95652174,1.304347826,4.347826087,0.608695652,0.072463768,3.652,98.35643564,1.05,53.5,15,480,10000,241.873,0,295.91805,72.244399,38.02
100100000,31.25,410,4.389199324,1000,18,84.03361345,1.680672269,4.201680672,0.588235294,0.093370682,4.84,97.86501985,1.05,54.3,15,480,10000,238.5942,0,294.9623,73.8688,34
100100000,31.25,410,4.417741652,1000,18,81.30081301,2.032520325,4.06504065,0.569105691,0.112917796,6.16,97.33564014,1.05,55.2,15,480,10000,251.82845,0,295.348,71.894728,37
100100000,31.25,410,4.04729974,1000,18,90.09009009,0.900900901,0.900900901,0.630630631,0.05005005,2.464,98.84698175,1.05,52.6,15,480,10000,236.11363,0,297.00985,67.765402,
100100000,31.25,410,4.276953286,1000,18,90.09009009,0.900900901,2.702702703,0.630630631,0.05005005,2.464,98.85767269,1.05,52.6,15,480,10000,248.2231,0,295.7279,70.775564,
100100000,31.25,410,4.364782653,1000,18,90.09009009,0.900900901,4.504504505,0.630630631,0.05005005,2.464,98.8681672,1.05,52.6,15,480,10000,240.34496,0,295.525,71.602626,39.09
100100000,31.25,410,4.432023485,1000,18,90.09009009,0.900900901,6.306306306,0.630630631,0.05005005,2.464,98.87847064,1.05,52.6,15,480,10000,244.57273,0,295.6232,72.553453,38.07
100100000,31.25,410,4.427251793,1000,18,90.09009009,0.900900901,8.108108108,0.630630631,0.05005005,2.464,98.88858818,1.05,52.6,15,480,10000,244.30665,0,295.15955,71.999055,36.04
100100000,31.25,410,4.457043088,1000,18,90.09009009,0.900900901,4.504504505,0.09009009,0.05005005,2.464,98.86503915,1.05,52.6,15,480,10000,235.55856,0,296.4967,70.73674,
100100000,31.25,410,4.341329361,1000,18,90.09009009,0.900900901,4.504504505,0.27027027,0.05005005,2.464,98.86608376,1.05,52.6,15,480,10000,237.42152,0,295.5162,71.151121,
100100000,31.25,410,4.328647896,1000,18,90.09009009,0.900900901,4.504504505,0.45045045,0.05005005,2.464,98.86712644,1.05,52.6,15,480,10000,241.14362,0,295.4194,70.690108,40.95
100100000,31.25,410,4.364782653,1000,18,90.09009009,0.900900901,4.504504505,0.630630631,0.05005005,2.464,98.8681672,1.05,52.6,15,480,10000,240.34496,0,295.625,71.665538,38.95
100100000,31.25,410,4.408878718,1000,18,90.09009009,0.900900901,4.504504505,0.810810811,0.05005005,2.464,98.86920606,1.05,52.6,15,480,10000,246.89354,0,295.10225,72.17014,36
110010000,31,405,3.88,1000,18,78.43137255,0.941176471,1.176470588,1.490196078,0.052287582,2.948,98.72985782,1.1,56,4,0,100000,214.48697,1,283,94,27.6
110010000,31,378.1506849,3.861541096,1000,18,85.61643836,1.02739726,1.284246575,1.626712329,0.057077626,2.948,98.66847335,1.1,53.9,4,0,100000,208.07918,1,283,94,26.7
110010000,31,344.6923077,3.838538462,1000,18,94.16195857,1.129943503,1.412429379,1.789077213,0.062774639,2.948,98.60151803,1.1,51.5,4,0,100000,205.11423,1,283,92,26
110010000,31,301.8421053,3.809078947,1000,18,104.6025105,1.255230126,1.569037657,1.987447699,0.069735007,2.948,98.52747253,1.1,48.9,4,0,100000,206.90465,1,283,93,25.6
