iter	Passed	Remaining
0	0	543
1	0	516
2	1	447
3	1	435
4	1	418
5	2	428
6	2	418
7	3	420
8	3	410
9	3	419
10	4	411
11	4	421
12	5	423
13	5	428
14	6	463
15	6	467
16	7	482
17	8	507
18	9	513
19	9	507
20	9	504
21	10	499
22	10	491
23	10	488
24	11	481
25	11	487
26	12	490
27	12	484
28	13	481
29	13	478
30	13	473
31	14	468
32	14	467
33	14	464
34	15	463
35	15	463
36	16	463
37	16	460
38	16	458
39	17	456
40	17	457
41	18	455
42	18	455
43	19	457
44	19	457
45	19	454
46	20	453
47	20	453
48	21	455
49	21	456
50	22	454
51	22	454
52	22	454
53	23	452
54	23	452
55	24	452
56	24	450
57	24	448
58	25	448
59	25	446
60	26	447
61	26	445
62	27	445
63	27	444
64	27	443
65	28	442
66	28	441
67	28	440
68	29	439
69	29	438
70	30	438
71	30	437
72	31	436
73	31	435
74	31	434
75	32	433
76	32	432
77	32	431
78	33	430
79	33	431
80	34	430
81	34	429
82	34	428
83	35	427
84	35	427
85	36	427
86	36	426
87	37	426
88	37	424
89	37	424
90	38	424
91	38	424
92	39	424
93	39	423
94	39	422
95	40	420
96	40	420
97	41	419
98	41	418
99	41	419
100	42	419
101	42	419
102	43	418
103	43	418
104	43	416
105	44	416
106	44	415
107	45	414
108	45	413
109	45	412
110	46	411
111	46	411
112	47	411
113	47	410
114	47	409
115	48	410
116	48	409
117	49	409
118	49	409
119	50	408
120	50	408
121	50	407
122	51	406
123	51	405
124	51	405
125	52	404
126	52	402
127	52	401
128	53	400
129	53	399
130	53	398
131	54	397
132	54	396
133	54	395
134	55	394
135	55	393
136	55	392
137	56	391
138	56	390
139	56	389
140	57	389
141	57	388
142	57	387
143	58	386
144	58	385
145	58	384
146	59	383
147	59	382
148	59	381
149	60	380
150	60	380
151	60	379
152	61	378
153	61	377
154	61	377
155	62	376
156	62	375
157	62	374
158	63	374
159	63	374
160	64	374
161	64	374
162	65	374
163	65	373
164	66	374
165	66	373
166	66	373
167	67	373
168	67	372
169	68	372
170	68	371
171	68	371
172	69	370
173	69	369
174	69	369
175	70	368
176	70	367
177	70	367
178	71	366
179	71	366
180	72	365
181	72	365
182	72	364
183	73	364
184	73	363
185	73	363
186	74	362
187	74	362
188	75	362
189	75	361
190	75	361
191	76	360
192	76	359
193	77	359
194	77	359
195	77	358
196	78	357
197	78	357
198	78	357
199	79	356
200	79	356
201	80	355
202	80	355
203	80	355
204	81	354
205	81	354
206	82	353
207	82	353
208	82	353
209	83	352
210	83	352
211	84	351
212	84	351
213	84	350
214	85	350
215	85	350
216	85	349
217	86	349
218	86	348
219	86	347
220	87	347
221	87	346
222	88	346
223	88	345
224	88	345
225	89	345
226	89	345
227	90	345
228	90	344
229	91	344
230	91	344
231	91	343
232	92	343
233	92	343
234	93	342
235	93	342
236	93	342
237	94	341
238	94	340
239	95	340
240	95	340
241	95	339
242	96	339
243	96	339
244	97	339
245	97	338
246	97	337
247	98	337
248	98	336
249	98	336
250	99	335
251	99	335
252	99	334
253	100	333
254	100	333
255	100	332
256	101	332
257	101	331
258	101	330
259	102	330
260	102	329
261	102	328
262	103	328
263	103	327
264	103	327
265	104	327
266	104	326
267	105	326
268	105	325
269	105	325
270	106	325
271	106	324
272	107	324
273	107	324
274	108	324
275	108	324
276	108	323
277	109	323
278	109	322
279	110	322
280	110	321
281	110	321
282	111	321
283	111	320
284	111	320
285	112	319
286	112	319
287	112	318
288	113	317
289	113	317
290	113	316
291	114	316
292	114	315
293	115	315
294	115	315
295	116	315
296	116	314
297	116	314
298	117	314
299	117	313
300	117	313
301	118	312
302	118	312
303	119	311
304	119	311
305	120	311
306	120	311
307	120	310
308	121	310
309	121	310
310	122	309
311	122	309
312	122	308
313	123	308
314	123	308
315	124	307
316	124	307
317	124	306
318	125	306
319	125	306
320	125	305
321	126	305
322	126	305
323	127	304
324	127	304
325	127	303
326	128	303
327	128	302
328	129	302
329	129	302
330	129	301
331	130	301
332	130	300
333	131	300
334	131	300
335	131	299
336	132	299
337	132	298
338	132	298
339	133	298
340	133	297
341	134	297
342	134	296
343	134	296
344	135	296
345	135	295
346	136	295
347	136	295
348	137	295
349	137	294
350	138	294
351	138	294
352	138	293
353	139	293
354	139	293
355	139	292
356	140	292
357	140	291
358	141	291
359	141	291
360	142	290
361	142	290
362	142	290
363	143	289
364	143	289
365	144	289
366	144	288
367	144	288
368	145	287
369	145	287
370	145	286
371	146	286
372	146	285
373	146	285
374	147	284
375	147	284
376	148	283
377	148	283
378	148	282
379	149	282
380	149	281
381	149	281
382	150	280
383	150	280
384	150	280
385	151	279
386	159	293
387	159	293
388	160	292
389	160	292
390	160	291
391	161	291
392	161	290
393	161	289
394	162	289
395	162	289
396	163	288
397	163	288
398	163	287
399	164	287
400	164	287
401	165	286
402	165	286
403	165	285
404	166	285
405	166	285
406	167	284
407	167	284
408	168	284
409	168	283
410	169	283
411	169	282
412	169	282
413	170	282
414	170	281
415	171	281
416	171	280
417	171	280
418	172	280
419	172	279
420	173	279
421	173	279
422	174	278
423	174	278
424	174	277
425	175	277
426	175	276
427	176	276
428	176	276
429	176	275
430	177	275
431	177	274
432	178	274
433	178	273
434	178	273
435	179	272
436	179	272
437	180	272
438	180	271
439	180	271
440	181	270
441	181	270
442	181	269
443	182	269
444	182	269
445	183	268
446	183	268
447	183	267
448	184	267
449	184	267
450	185	266
451	185	266
452	186	265
453	186	265
454	186	264
455	187	264
456	187	263
457	187	263
458	188	262
459	188	262
460	189	262
461	189	261
462	190	261
463	190	261
464	190	260
465	191	260
466	191	259
467	192	259
468	192	258
469	192	258
470	193	257
471	193	257
472	193	257
473	194	256
474	194	256
475	195	255
476	195	255
477	195	254
478	196	254
479	196	253
480	196	253
481	197	253
482	197	252
483	198	252
484	198	251
485	199	251
486	199	251
487	199	250
488	200	250
489	200	249
490	200	249
491	201	248
492	201	248
493	202	247
494	202	247
495	202	246
496	203	246
497	203	246
498	203	245
499	204	245
500	204	244
501	205	244
502	205	244
503	205	243
504	206	243
505	206	242
506	207	242
507	207	241
508	207	241
509	208	240
510	208	240
511	209	240
512	209	239
513	209	239
514	210	238
515	210	238
516	210	237
517	211	237
518	211	237
519	212	236
520	212	236
521	212	235
522	213	235
523	213	234
524	214	234
525	214	233
526	214	233
527	215	233
528	215	232
529	215	232
530	216	231
531	216	231
532	217	230
533	217	230
534	217	229
535	218	229
536	218	229
537	218	228
538	219	228
539	219	227
540	219	227
541	220	226
542	220	226
543	221	226
544	221	225
545	221	225
546	222	224
547	222	224
548	222	223
549	223	223
550	223	222
551	223	222
552	224	221
553	224	221
554	225	221
555	225	220
556	225	220
557	226	219
558	226	219
559	226	218
560	227	218
561	227	217
562	228	217
563	228	217
564	228	216
565	229	216
566	229	215
567	229	215
568	230	214
569	230	214
570	230	213
571	231	213
572	231	212
573	231	212
574	232	211
575	232	211
576	232	211
577	233	210
578	233	210
579	233	209
580	234	209
581	234	208
582	234	208
583	235	207
584	235	207
585	235	206
586	236	206
587	236	205
588	236	205
589	237	205
590	237	204
591	237	204
592	238	203
593	238	203
594	239	202
595	239	202
596	239	202
597	240	201
598	240	201
599	241	200
600	241	200
601	241	200
602	242	199
603	242	199
604	243	199
605	243	198
606	244	198
607	244	197
608	245	197
609	245	197
610	245	196
611	246	196
612	246	195
613	247	195
614	247	195
615	247	194
616	248	194
617	248	193
618	248	193
619	249	193
620	249	192
621	250	192
622	250	191
623	250	191
624	251	190
625	251	190
626	252	190
627	252	189
628	252	189
629	253	188
630	253	188
631	253	188
632	254	187
633	254	187
634	255	186
635	255	186
636	255	185
637	256	185
638	256	185
639	257	184
640	257	184
641	258	184
642	258	183
643	259	183
644	259	183
645	260	182
646	260	182
647	260	182
648	261	181
649	261	181
650	262	180
651	262	180
652	262	179
653	263	179
654	263	179
655	264	178
656	264	178
657	264	177
658	265	177
659	265	177
660	265	176
661	266	176
662	266	175
663	267	175
664	267	174
665	267	174
666	268	174
667	268	173
668	269	173
669	269	172
670	269	172
671	270	172
672	270	171
673	271	171
674	271	170
675	271	170
676	272	170
677	272	169
678	272	169
679	273	168
680	273	168
681	274	168
682	274	167
683	274	167
684	275	166
685	275	166
686	276	166
687	276	165
688	276	165
689	277	164
690	277	164
691	278	163
692	278	163
693	278	163
694	279	162
695	279	162
696	280	161
697	280	161
698	280	161
699	281	160
700	281	160
701	281	159
702	282	159
703	282	158
704	282	158
705	283	158
706	283	157
707	283	157
708	284	156
709	284	156
710	284	155
711	285	155
712	285	155
713	286	154
714	286	154
715	286	153
716	287	153
717	287	153
718	288	152
719	288	152
720	288	151
721	289	151
722	289	151
723	289	150
724	290	150
725	290	149
726	291	149
727	291	149
728	291	148
729	292	148
730	292	147
731	293	147
732	293	147
733	294	146
734	294	146
735	294	145
736	295	145
737	295	144
738	295	144
739	296	144
740	296	143
741	297	143
742	297	142
743	297	142
744	298	142
745	298	141
746	299	141
747	299	141
748	300	140
749	300	140
750	300	139
751	301	139
752	301	139
753	302	138
754	302	138
755	302	137
756	303	137
757	303	137
758	304	136
759	304	136
760	304	135
761	305	135
762	305	135
763	306	134
764	306	134
765	307	133
766	307	133
767	307	133
768	308	132
769	308	132
770	308	131
771	309	131
772	309	131
773	310	130
774	310	130
775	311	129
776	311	129
777	311	129
778	312	128
779	312	128
780	312	127
781	313	127
782	313	127
783	314	126
784	314	126
785	315	125
786	315	125
787	315	125
788	316	124
789	316	124
790	317	123
791	317	123
792	317	123
793	318	122
794	318	122
795	318	121
796	319	121
797	319	120
798	320	120
799	320	120
800	320	119
801	321	119
802	321	118
803	321	118
804	322	118
805	322	117
806	323	117
807	323	116
808	323	116
809	324	116
810	324	115
811	325	115
812	325	114
813	325	114
814	326	114
815	326	113
816	326	113
