DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,C_BA_MR,M_loss,Yield,R,CHS,A_Mix_T,AB_Mix_T,Q,Cata_Code,MCS,Closed_CC,AD,TC,CS,Quadrant,Region,Density_Level,Region_Density
110100000,31.0,367.99173553719,4.464132231404959,1000.0,18.0,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847106950399,1.83,59.7,,,0.0,100000,108.6,90.8,36.8,24.36,212.6,+-,B,Low,B2
110100000,31.0,367.99173553719,4.464132231404959,1000.0,18.0,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847106950399,1.83,59.7,,,0.0,100000,94.1,90.8,36.8,24.36,131.3,--,C,Low,C2
110000000,31.0,420.0,4.5,1000.0,18.0,59.0,2.0,0.88,0.9,0.189,4.900419287,97.005005005005,1.7,62.9,,5.0,0.0,100000,123.3,92.3,39.8,24.55,221.7,+-,B,High,B1
110100000,31.0,367.99173553719,4.464132231404959,1000.0,18.0,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847106950399,1.83,59.7,,5.0,0.0,100000,128.1,93.1,38.3,25.35,210.3,+-,B,Low,B2
101010000,31.4,,,1000.0,18.0,71.0,2.1,1.8,0.76,0.167,5.231742408,97.0277901619854,1.1,55.5,,,0.0,101000,190.6,90.0,41.2,28.0,198.0,-+,D,High,D1
101010000,31.4,,,1000.0,18.0,68.0,2.03,1.7,0.71,0.167,4.961995624,97.1168337592556,1.1,55.5,,,0.0,101000,178.1,58.0,35.4,45.0,148.0,-+,D,Low,D2
101010000,31.4,,,1000.0,18.0,66.0,2.0,1.65,0.7,0.167,4.836972055,97.1594943900014,1.1,55.5,,,0.0,101000,237.3,47.0,32.1,51.0,95.0,-+,D,Low,D2
110000000,31.0,430.0,,1000.0,18.0,62.5,1.25,1.6,0.62,0.14,3.819444444,97.6982632349864,1.5,61.54,180.0,8.0,648.0,10000,,,55.4,45.1,285.0,++,A,High,A1
100010000,31.0,450.0,5.3,1000.0,18.0,62.0,1.24,1.55,0.0,0.14,3.791011856,97.6999958181742,1.48,61.7,180.0,8.0,648.0,0,,,48.5,40.4,213.0,++,A,High,A1
100010000,31.0,450.0,6.6,1000.0,18.0,62.0,1.24,1.55,0.0,0.14,3.791011856,97.6999958181742,1.48,61.7,180.0,8.0,648.0,0,219.0,95.5,43.5,36.7,179.0,-+,D,High,D1
100010000,31.0,480.0,7.1,1000.0,18.0,60.0,1.22,1.52,0.0,0.14,3.71948333,97.7265211640212,1.44,62.16,180.0,8.0,648.0,0,247.0,94.6,45.2,37.4,207.0,++,A,High,A1
100010000,31.0,485.0,7.3,1000.0,18.0,60.0,1.21,1.5,0.0,0.14,3.70819849,97.7307422535793,1.42,62.24,180.0,8.0,648.0,0,227.0,95.3,42.6,36.5,191.0,-+,D,High,D1
100010000,31.0,500.0,7.4,1000.0,18.0,60.0,1.21,1.5,0.0,0.14,3.674751119,97.7433119973741,1.38,62.45,180.0,8.0,648.0,0,200.0,92.2,47.4,38.1,230.0,++,A,High,A1
100010000,31.0,515.0,7.9,1000.0,18.0,59.6,1.192,1.49,0.0,0.14,3.641901735,97.7557432570286,1.35,62.66,180.0,8.0,648.0,0,211.0,91.0,51.4,38.8,238.0,++,A,High,A1
110100000,31.5,407.3649778652239,,1000.0,18.0,80.0,2.16,2.4,0.8,0.15,5.28,97.1141233056406,1.3,55.56,60.0,10.0,,100000,566.0,81.0,39.0,35.4,230.3,++,A,Low,A2
110000000,31.0,440.0,4.5,1000.0,,85.47008547,2.991452991,1.282051282,1.282051282,0.194444444444444,7.312440646,,1.1,,,,,100000,102.7,88.4,45.4,22.9,382.5,+-,B,High,B1
110010000,31.0,428.9999999999999,4.524338235294117,1000.0,,89.28571429,3.125,1.339285714,1.339285714,0.194444444444444,7.638888889,,1.1,,,,,100000,96.1,88.4,44.2,23.0,357.7,+-,B,High,B1
110010000,31.0,417.0434782608695,4.55079283887468,1000.0,,92.59259259,3.240740741,1.388888889,1.388888889,0.194444444444444,7.9218107,,1.1,,,,,100000,115.1,87.1,42.0,22.8,312.4,+-,B,High,B1
