Feature,Seed,Fold,R²,MAE,MSE,RMSE,RSE
AD,0,1,0.748577964304006,0.05288409289323388,0.006148095398019215,0.07840979146777025,0.5014200192413483
AD,0,2,0.7848769264321505,0.057384678607466724,0.007306454218871319,0.08547779956732227,0.46381361942902183
AD,0,3,0.7528654285619887,0.05361742269678744,0.008173113321256245,0.09040527264079372,0.4971263133631244
AD,1,1,0.8473177775557943,0.04657092640032928,0.004697803491561145,0.06854052444766633,0.39074572607285885
AD,1,2,0.8110919914136298,0.045901548575735515,0.0060221281413688705,0.07760237200864978,0.4346354893314284
AD,1,3,0.8402823118633499,0.044530624602243,0.004561346411006916,0.06753774064185829,0.3996469543692909
AD,2,1,0.7849796621322791,0.05438983617749523,0.0071913512771080825,0.0848018353404458,0.463702855142947
AD,2,2,0.8602771538810292,0.04140754930615305,0.0034802021074335577,0.05899323781107083,0.37379519274459755
AD,2,3,0.751365135764853,0.05863726605787411,0.008218267924796503,0.09065466300635894,0.49863299553393686
AD,3,1,0.7908465814502768,0.05013577227747864,0.005691240763112952,0.07544031258626221,0.4573329405911226
AD,3,2,0.7978599248495164,0.05362264162112498,0.007126173987164067,0.08441666889402867,0.4495999056388731
AD,3,3,0.8347078287511934,0.04691592025266937,0.004805320552153108,0.06932041944588267,0.4065613991131064
AD,4,1,0.7327335037985944,0.053973591493588886,0.0074220953196864085,0.08615158338467384,0.5169782357134637
AD,4,2,0.8517065296598821,0.043525568311823956,0.004132665599474369,0.06428581180536161,0.38508891225289504
AD,4,3,0.8285586858342311,0.053645419160519035,0.006083896515689192,0.07799933663621243,0.4140547236365851
AD,5,1,0.842618793794628,0.045599019445430135,0.004428625239241839,0.06654791686628395,0.39671300231448425
AD,5,2,0.859399402747772,0.04870154214894243,0.0048622302220179894,0.069729693976225,0.3749674615913065
AD,5,3,0.7786079293550107,0.048972522148801656,0.006320371873086725,0.07950076649370574,0.4705231882117919
AD,6,1,0.8340748472187278,0.04811912591947391,0.005289214224782495,0.07272698415844352,0.407339112756524
AD,6,2,0.8516385146454879,0.04209228264457445,0.004013609691118952,0.06335305589408416,0.3851772129221978
AD,6,3,0.7601779641139856,0.05287751522026738,0.007732565009805741,0.08793500446241952,0.48971628100974374
AD,7,1,0.7500722459830342,0.05393913832096971,0.006550359215606869,0.08093428949219773,0.49992774879672935
AD,7,2,0.8156534534985267,0.05015856646832534,0.005665523603713593,0.07526967253624525,0.42935596711991003
AD,7,3,0.8135688713502591,0.05360862174297932,0.006247621450535089,0.07904189680501784,0.4317767115648328
AD,8,1,0.7221567206033335,0.05638718054621046,0.0072650753768719175,0.08523541151934398,0.527108413323736
AD,8,2,0.8480996701497177,0.04626774902063404,0.005106999429662556,0.07146327329238814,0.38974392856115453
AD,8,3,0.8167284747053503,0.050619952132440436,0.005819924858316101,0.07628843200850376,0.42810223696524846
AD,9,1,0.880364320595133,0.04282296706194259,0.003843230491607227,0.06199379397655242,0.3458839103006484
AD,9,2,0.7864633027717993,0.058565642855733076,0.007737239903997834,0.08796158197757606,0.46210031078565683
AD,9,3,0.8360679711210737,0.040413285373561626,0.003781291803643904,0.06149220929226648,0.40488520456905597
AD,10,1,0.7851498696543774,0.05288697286124356,0.0071482692210517625,0.08454743769654857,0.4635192879974065
AD,10,2,0.8414034395030059,0.04413394904436872,0.00420477347083851,0.06484422465292117,0.39824183669849916
AD,10,3,0.842070266933822,0.046190436965126425,0.0047758012780829565,0.06910717240694308,0.39740374062932265
AD,11,1,0.8484924398393839,0.04995141397659374,0.004707804668286633,0.06861344378681654,0.38923972068715706
AD,11,2,0.7589490715046366,0.05591532767592413,0.007177055018257094,0.08471750125125914,0.49096937633152166
AD,11,3,0.623334844288369,0.0692114414774954,0.011021013665684932,0.10498101573944182,0.613730523692305
AD,12,1,0.8175464555865499,0.05504362513356162,0.006000656992774801,0.07746390767818778,0.4271458116538778
AD,12,2,0.8306911130275643,0.0473253272374766,0.005688211694675952,0.07542023398714666,0.4114716113809502
AD,12,3,0.784520551767053,0.05025741323375705,0.005275011977944605,0.07262927769119423,0.464197639193638
AD,13,1,0.8157571254835925,0.046411358779917485,0.00547179102332935,0.07397155550162068,0.4292352204985136
AD,13,2,0.8020538469729106,0.04796808559700818,0.0048695975088585445,0.06978250145171457,0.44491139907524213
AD,13,3,0.821880003143615,0.05807722448722974,0.006652861266961397,0.08156507381815697,0.42204264814872083
AD,14,1,0.7990160096665642,0.044203115345652105,0.0059509908578602045,0.07714266561287732,0.4483123803035511
AD,14,2,0.779466886398301,0.06386070844431213,0.007953864361045317,0.08918444012856344,0.4696095331248068
AD,14,3,0.815258688603157,0.0446431158759627,0.004764581694548753,0.06902594942881085,0.42981543876045564
AD,15,1,0.7044823493695183,0.056083157566812446,0.008109726340642725,0.09005401901438229,0.5436153517244355
AD,15,2,0.7662224488840909,0.05770106969542454,0.008600392664730283,0.09273830203713179,0.483505481991579
AD,15,3,0.8102750651605856,0.05068639851803064,0.005074918580237126,0.07123846278687607,0.43557425869696936
AD,16,1,0.7984508867366398,0.051569435092417196,0.005489203129208718,0.0740891566236836,0.4489422159514076
AD,16,2,0.8196340744378315,0.050000540611750945,0.006477024256003434,0.08047996182903813,0.42469509717227544
AD,16,3,0.754369863317012,0.05265943505399241,0.006728432203787851,0.08202702118075392,0.4956108722404988
AD,17,1,0.8247068541379561,0.05633032574483892,0.006148050442542711,0.07840950479720371,0.4186802429803011
AD,17,2,0.8439224651220928,0.0454082510770389,0.004056905213560616,0.06369383968297575,0.3950664942486356
AD,17,3,0.7005179646417616,0.05952378393063063,0.00902703529746788,0.09501071148806264,0.5472495183718652
AD,18,1,0.7988936494609802,0.05972648903507733,0.0076489427454168495,0.08745823429167118,0.44844882711299383
AD,18,2,0.7532614398228896,0.05016509685324336,0.00569575347161191,0.07547021579147571,0.49672785323264323
AD,18,3,0.8080410082196646,0.046805189114421025,0.005683922479795755,0.07539179318596789,0.4381312494907609
AD,19,1,0.7589852758563184,0.050286508694777944,0.006215903028481577,0.07884099839855896,0.4909325046721612
AD,19,2,0.8323748186496822,0.05423695189780292,0.005670992720319,0.07530599392026507,0.40942054339067774
