DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,AD(kg/m3)
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,81.11,5.3,0,100000,108.6,36.8
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,81.11,5.3,0,100000,94.1,36.8
100010000,31.5,440,3.158698331,1000,18,50.67615658,1.494661922,1.010676157,0.455516014,0.167,5.229893238,97.01785714,1.1,58.4,120,10,0,100100,310,39
100100100,31.5,429.3267117,3.370280883,1000,18,32.93172691,0.975329891,0.659781985,0.295467585,0.167,4.215720023,97.37758744,1.1,63.5,120,10,0,100100,220,37.6
100100100,31.5,418.1186236,3.432703637,1000,18,30.90605892,0.990550306,0.61700945,0.278488049,0.167,4.084491384,97.42897131,1.1,64.6,120,10,0,100100,210,30.8
100100100,31.5,406.1842226,3.357807159,1000,18,29.05660377,0.862533693,0.582210243,0.264150943,0.167,3.961185984,97.47838023,1.1,65,120,10,0,100100,280,28.5
100100100,31.5,393.4943044,3.419217503,1000,18,27.42019885,0.83725798,0.549450549,0.248560963,0.167,3.845107274,97.52592593,1.1,65.6,120,10,0,100100,320,27.4
100100100,31.5,380,3.373911584,1000,18,25.82613116,0.762582613,0.518556177,0.234875445,0.167,3.735638027,97.57171183,1.1,66.3,120,10,0,100100,260,25.7
100010000,31.4,537,4.666222708,1000,18,1.5,0.06,0.025,0.01,0.0067,14.66666667,94.34810533,0.7,60,35,35,436.8,10000,306.09,142
100010000,31.4,698,4.525933821,1000,18,1.153,0.0385,0.019,0.0077,0.0056,9.401709402,95.76352783,0.7,53.6,35,35,426.96,10000,306.214,110
100010000,31.4,480,4.663797511,1000,18,1.67,0.056,0.028,0.011,0.0056,13.58024691,95.07168459,0.7,62.5,35,35,436.8,10000,310.704,140
100010000,31.4,559,4.705222708,1000,18,1.5,0.055,0.025,0.01,0.0061,13.44444444,94.80909481,0.7,60,35,35,436.8,10000,305.658,111
100010000,31.4,979,4.611222708,1000,18,0.83,0.039,0.014,0.0083,0.0078,9.50617284,94.98942574,0.7,45.5,35,35,426.96,10000,302.883,93.2
100010000,31.4,1229,4.610933821,1000,18,0.65,0.03,0.011,0.0065,0.0078,7.439613527,95.63492063,0.7,39.5,35,35,426.96,10000,300.792,96.1
100010000,31.4,1154,4.473933821,1000,18,0.7,0.0233,0.012,0.007,0.0056,5.684754522,96.74074074,0.7,41.1,35,35,426.96,10000,313.145,94.8
110000000,31,420,4.5,1000,18,59,2,0.88,0.9,0.189,4.900419287,97.00500501,1.7,62.9,68.7,5,0,100000,123.3,39.8
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,80.66,5,0,100000,128.1,38.3
110000000,31.25,430,4.1,1000,18,74.1,1.5,1.5,3.34,0.11,3.621399177,97.99224276,1.182,57.4,43.72,10.92,342,101001,350,60.4
110000000,31,340,3,1000,18,67,2,1.3,0.603,0.167,4.888888889,97.13429725,1.2,60,120,9,0,100100,260,43.1
110100000,31.25,1541.742208,5.899642782,1000,18.13430088,36.6,6.629368336,1.124184008,0.874638306,0.164830444,10.04470028,95.35095256,0.7,73.2,300,18,0,100100,286.9,31.4
110100000,31.25,1610.829798,5.198744032,1000,18.13430088,35,6.447491948,1.12922734,0.872215542,0.163382667,9.767454929,95.44974913,0.7,74.1,300,18,0,100100,280.5,38.9
