Feature,Seed,Fold,R²,MAE,MSE,RMSE,RSE
CS,0,1,0.7015661340158486,0.08861669567303862,0.014434899042369609,0.12014532467961293,0.5462910085148314
CS,0,2,0.8712680879962071,0.08086975967322775,0.012805231435745922,0.11316020252609096,0.3587922964666227
CS,0,3,0.8173307517089955,0.08262982547043482,0.01550308009449469,0.12451136532258687,0.4273982315019617
CS,1,1,0.8954764174320966,0.06839871639854847,0.00850934930933737,0.09224613438696154,0.3233010710899415
CS,1,2,0.6609463565062675,0.10818396839875538,0.02636458615832183,0.1623717529569778,0.582283130009562
CS,1,3,0.8141436396335842,0.08263699447838468,0.014294764717695205,0.11956071561217424,0.4311106126812652
CS,2,1,0.5803363081084134,0.08797303702099286,0.016899182606666476,0.12999685614147166,0.6478145505401887
CS,2,2,0.8703375431960155,0.08229750273788536,0.013265403433263762,0.11517553313644249,0.36008673511250655
CS,2,3,0.8801492483609692,0.08197469859491642,0.010966429827609956,0.10472072300939272,0.3461946730367623
CS,3,1,0.8257167876701703,0.06603008976693661,0.010653976124755833,0.10321809979240963,0.41747240906415567
CS,3,2,0.7856496713728658,0.09210520967473512,0.014487476216440632,0.12036393237361694,0.4629798360913077
CS,3,3,0.8431797240082135,0.09355626202754869,0.01685946167317675,0.12984398974606698,0.3960053989427246
CS,4,1,0.843631147888896,0.08450408302397663,0.013945882517595534,0.11809268613083342,0.3954350162935802
CS,4,2,0.7542623932694059,0.08885345268595103,0.016290812823736667,0.1276354685177152,0.4957192821855875
CS,4,3,0.7245718854876508,0.09854491907030663,0.02177284751122318,0.1475562520235018,0.5248124565140858
CS,5,1,0.802986329942574,0.09003972187666606,0.012932078215465695,0.1137192957042282,0.4438622196779379
CS,5,2,0.7781921175895685,0.09303177467045104,0.0172658464062416,0.13139956775515513,0.4709648420109844
CS,5,3,0.8354361023944928,0.07904618337405556,0.015082508078932844,0.12281086303309184,0.40566476012282254
CS,6,1,0.7008466430659783,0.09592617140678934,0.01747442505868801,0.13219086601837515,0.5469491356003972
CS,6,2,0.8325080029545907,0.08353110122300662,0.013832557797976618,0.1176118947980034,0.40925786131167874
CS,6,3,0.8393881986118302,0.08259336839275949,0.013611990946964919,0.11667043733082053,0.40076402207305206
CS,7,1,0.8503588481653435,0.08727647545614162,0.015265267162541299,0.12355268982317341,0.3868347862261828
CS,7,2,0.7839518790855874,0.08471545428820886,0.014226001132119198,0.11927280130909644,0.46480976852300837
CS,7,3,0.7614931501913094,0.08630274996103354,0.015869385759374632,0.12597375027907454,0.4883716308393544
CS,8,1,0.8264268820738017,0.08426550413598216,0.014984438681089864,0.12241094183564583,0.4166210723501614
CS,8,2,0.7669211884473223,0.08871510942633214,0.016221198698848548,0.12736246974226179,0.48278236458333657
CS,8,3,0.8374821397689061,0.08130717666936017,0.012798297530682961,0.11312956081715761,0.4031350396964942
