DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,CS_rate,CS_TD,Closed_CC,CS(KPa)
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,294.75,5.08,0,100000,108.6,0.001666667,0,90.8,212.6
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,294.75,5.13,0,100000,94.1,0.001666667,1,90.8,131.3
100010000,31.4,537,5.77522128,1000,18,1.5,0.06,0.025,0.01,0.0067,14.66666667,94.34810533,0.7,60,35,35,648,10000,225.293,0.002069926,0,87.5671,450
100010000,31.4,698,5.819357475,1000,18,1.153,0.0385,0.019,0.0077,0.0056,9.401709402,95.76352783,0.7,53.6,35,35,648,10000,189.682,0.002047387,0,85.2371,520
100010000,31.4,480,5.949597813,1000,18,1.67,0.056,0.028,0.011,0.0056,13.58024691,95.07168459,0.7,62.5,35,35,648,10000,222.207,0.002085625,0,88.2515,240
100010000,31.4,559,5.822812529,1000,18,1.5,0.055,0.025,0.01,0.0061,13.44444444,94.80909481,0.7,60,35,35,648,10000,220.816,0.00203104,0,87.9552,280
100010000,31.4,979,6.154492481,1000,18,0.83,0.039,0.014,0.0083,0.0078,9.50617284,94.98942574,0.7,45.5,35,35,648,10000,206.137,0.002040054,0,86.0074,200
100010000,31.4,1229,6.159803011,1000,18,0.65,0.03,0.011,0.0065,0.0078,7.439613527,95.63492063,0.7,39.5,35,35,648,10000,201.841,0.002042966,0,83.979,140
100010000,31.4,1154,6.00513569,1000,18,0.7,0.0233,0.012,0.007,0.0056,5.684754522,96.74074074,0.7,41.1,35,35,648,10000,187.993,0.00202821,0,85.8598,370
110000000,31,420,4.5,1000,18,59,2,0.88,0.9,0.189,4.900419287,97.00500501,1.7,62.9,279.55,5,0,100000,123.3,0.001666667,0,92.3,221.7
110000000,31,420,4.5,1000,18,59,2,0.88,0.9,0.189,4.900419287,97.00500501,1.7,62.9,279.55,5,0,100000,151.7,0.001666667,1,92.3,174.8
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,292.95,5,0,100000,128.1,0.001666667,0,93.1,210.3
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,292.95,5,0,100000,158.8,0.001666667,1,93.1,143.8
110100000,31.25,1541.742208,5.899642782,1000,20.46328668,36.6,5.869797558,1.433619595,1.29237309,0.098608,10.07541932,95.67863931,0.7,73.2,300,18,0,100100,286.9,0.001706037,0,81.079,132.6
110100000,31.25,1610.829798,5.198744032,1000,21.45961147,35,5.868462088,1.328391899,1.301491218,0.103679222,10.01486372,95.70586881,0.7,74.1,300,18,0,100100,280.5,0.001706037,0,82.49,223.8
110100000,31.25,1653.62417,4.764591933,1000,21.45961147,33.7,5.866678594,1.329128977,1.302484952,0.102911889,10.05110393,95.69595179,0.7,74.8,300,18,0,100100,264.9,0.001706037,0,82.539,289.3
110100000,31.25,1688.986675,4.405836683,1000,21.45961147,33,5.726500416,1.331405706,1.29936444,0.103521889,10.00978861,95.7097839,0.7,75.2,300,18,0,100100,258.6,0.001706037,0,82.5229,290.8
110100000,31.25,1701.499935,4.278888724,1000,21.45961147,32.7,5.714493813,1.32738286,1.307952994,0.103244111,10.02201083,95.72485014,0.7,75.41,300,18,0,100100,253.9,0.001706037,0,82.5279,318
110100000,31.25,430,4.25,1000,21.53718412,70,1.689597953,1.499501555,1.256211208,0.111976889,5.10092848,97.41819128,0.7,58.9,300,18,0,100100,163.8,0.001706037,0,92.5028,174.6
