iter	Passed	Remaining
0	0	1047
1	1	823
2	2	793
3	2	762
4	3	724
5	3	726
6	4	715
7	5	727
8	5	713
9	6	711
10	7	700
11	7	684
12	7	668
13	8	652
14	8	642
15	9	633
16	9	628
17	10	620
18	10	612
19	11	606
20	11	601
21	12	591
22	12	587
23	13	584
24	13	578
25	13	573
26	14	571
27	15	581
28	15	589
29	16	595
30	17	597
31	18	604
32	18	606
33	19	611
34	20	617
35	20	617
36	21	614
37	21	614
38	22	612
39	23	613
40	23	617
41	24	615
42	24	613
43	25	611
44	25	609
45	26	606
46	26	604
47	27	602
48	28	603
49	28	600
50	29	598
51	29	595
52	30	594
53	30	592
54	30	588
55	31	586
56	31	584
57	32	584
58	33	584
59	33	585
60	34	585
61	34	582
62	35	581
63	35	578
64	36	577
65	36	576
66	37	574
67	37	574
68	38	572
69	38	572
70	39	574
71	40	574
72	40	573
73	41	572
74	41	572
75	42	570
76	42	568
77	43	567
78	43	565
79	44	564
80	44	564
81	45	563
82	45	563
83	46	561
84	46	560
85	47	559
86	47	558
87	48	556
88	48	554
89	49	554
90	49	553
91	50	553
92	50	552
93	51	549
94	51	547
95	52	546
96	52	545
97	53	546
98	54	546
99	54	548
100	55	546
101	55	546
102	56	547
103	57	546
104	57	546
105	58	545
106	58	544
107	59	543
108	59	542
109	60	540
110	60	538
111	60	536
112	61	536
113	62	538
114	62	538
115	63	538
116	63	537
117	64	536
118	65	537
119	65	537
120	66	537
121	66	536
122	67	535
123	68	535
124	68	535
125	69	534
126	69	532
127	70	532
128	70	531
129	71	530
130	71	528
131	71	527
132	72	526
133	72	525
134	73	525
135	74	525
136	74	524
137	75	523
138	75	523
139	76	523
140	76	522
141	77	521
142	77	521
143	78	521
144	79	520
145	79	520
146	80	520
147	80	519
148	81	519
149	81	519
150	82	519
151	83	518
152	83	518
153	84	517
154	84	516
155	85	515
156	85	513
157	85	512
158	86	511
159	86	509
160	87	509
161	87	509
162	88	508
163	89	508
164	89	508
165	90	507
166	90	506
167	91	505
168	91	505
169	92	505
170	92	504
171	93	504
172	94	504
173	94	503
174	95	503
175	95	502
176	96	502
177	96	501
178	97	500
179	97	499
180	98	498
181	98	498
182	99	497
183	99	496
184	100	495
185	100	494
186	101	493
187	101	492
188	102	491
189	102	490
190	102	489
191	103	489
192	104	489
193	104	488
194	105	487
195	105	486
196	106	485
197	106	485
198	107	484
199	107	484
200	108	483
201	108	483
202	109	482
203	109	482
204	110	481
205	110	480
206	111	479
207	111	478
208	112	478
209	112	477
210	113	477
211	113	476
212	114	476
213	114	476
214	115	475
215	116	475
216	116	474
217	117	474
218	117	473
219	118	473
220	118	472
221	119	472
222	120	471
223	120	471
224	121	472
225	122	472
226	122	471
227	123	470
228	123	469
229	123	468
230	124	468
231	124	467
232	125	467
233	126	467
234	126	466
235	127	465
236	127	465
237	128	464
238	128	463
239	129	463
240	129	462
241	130	462
242	130	461
243	131	460
244	131	459
245	132	459
246	132	458
247	133	458
248	133	457
249	134	457
250	135	457
251	135	456
252	136	456
253	136	456
254	137	455
255	137	454
256	138	454
257	139	454
258	139	453
259	140	452
260	140	452
261	141	451
262	141	451
263	142	450
264	142	450
265	143	449
266	144	449
267	144	449
268	145	449
269	145	448
270	146	448
271	147	448
272	147	447
273	148	447
274	149	447
275	149	447
276	150	447
277	151	446
278	151	446
279	152	445
280	152	444
281	153	444
282	153	444
283	154	444
284	155	443
285	155	442
286	156	442
287	157	442
288	157	442
289	158	441
290	158	440
291	158	439
292	159	439
293	160	439
294	160	438
295	161	438
296	161	437
297	162	437
298	163	436
299	163	436
300	164	436
301	165	436
302	165	435
303	166	434
304	166	434
305	167	434
306	168	434
307	168	433
308	169	433
309	169	432
310	170	432
311	171	431
312	171	431
313	172	430
314	172	430
315	173	429
316	173	428
317	173	427
318	174	427
319	175	426
320	175	426
321	176	425
322	176	424
323	177	424
324	177	423
325	177	422
326	178	421
327	179	421
328	179	421
329	180	420
330	180	419
331	181	419
332	181	418
333	182	418
334	182	417
335	183	417
336	183	416
337	184	415
338	184	414
339	185	414
340	186	414
341	186	413
342	187	412
343	187	411
344	187	411
345	188	410
346	189	410
347	189	409
348	190	409
349	190	408
350	191	407
351	191	407
352	192	406
353	192	406
354	193	405
355	193	404
356	194	404
357	195	404
358	195	403
359	196	403
360	204	418
361	205	418
362	205	417
363	205	416
364	206	415
365	206	414
366	207	414
367	208	413
368	208	412
369	208	412
370	209	411
371	210	411
372	210	410
373	211	410
374	211	409
375	212	409
376	212	408
377	213	407
378	213	406
379	214	406
380	214	405
381	215	404
382	215	404
383	216	403
384	217	403
385	217	402
386	218	402
387	218	401
388	219	400
389	219	400
390	220	399
391	220	398
392	221	398
393	221	397
394	222	396
395	222	396
396	223	395
397	223	394
398	224	394
399	225	393
400	225	393
401	226	392
402	226	391
403	227	391
404	227	390
405	228	390
406	228	389
407	229	388
408	229	388
409	230	387
410	230	386
411	230	385
412	231	385
413	232	384
414	232	383
415	233	383
416	233	382
417	234	382
418	234	381
419	235	381
420	236	380
421	236	380
422	237	379
423	237	378
424	238	378
425	238	377
426	239	377
427	239	376
428	240	376
429	240	375
430	241	374
431	242	374
432	242	373
433	243	373
434	243	372
435	244	371
436	244	371
437	245	370
438	245	369
439	246	369
440	246	368
441	247	368
442	248	367
443	248	367
444	249	366
445	249	365
446	250	365
447	250	364
448	251	364
449	251	363
450	251	362
451	252	361
452	253	361
453	253	360
454	254	360
455	254	359
456	255	359
457	255	358
458	256	357
459	256	357
460	257	356
461	257	355
462	258	355
463	258	354
464	259	354
465	259	353
466	260	353
467	260	352
468	261	351
469	261	351
470	262	350
471	263	349
472	263	349
473	264	348
474	264	348
475	264	347
476	265	346
477	265	346
478	266	345
479	266	344
480	267	343
481	267	343
482	268	342
483	269	342
484	269	341
485	270	341
486	270	340
487	271	340
488	271	339
489	271	338
490	272	337
491	272	337
492	273	336
493	273	335
494	274	335
495	274	334
496	275	333
497	275	333
498	276	332
499	276	332
500	277	331
501	277	330
502	278	330
503	278	329
504	279	329
505	279	328
506	280	327
507	281	327
508	281	327
509	282	326
510	282	325
511	283	325
512	283	324
513	284	324
514	284	323
515	285	323
516	286	322
517	286	321
518	287	321
519	287	320
520	288	320
521	288	319
522	289	318
523	289	318
524	290	317
525	290	317
526	291	316
527	291	316
528	292	315
529	292	314
530	293	314
531	293	313
532	294	312
533	294	312
534	295	312
535	296	311
536	296	311
537	297	310
538	297	309
539	298	309
540	298	308
541	299	307
542	299	307
543	300	307
544	300	306
545	301	305
546	301	305
547	302	304
548	302	304
549	303	303
550	303	302
551	304	302
552	305	301
553	305	301
554	306	300
555	306	300
556	307	299
557	307	298
558	308	298
559	308	297
560	309	297
561	309	296
562	310	296
563	310	295
564	311	295
565	312	294
566	312	293
567	313	293
568	313	292
569	314	292
570	315	291
571	315	291
572	316	290
573	316	290
574	316	289
575	317	288
576	317	287
577	318	287
578	318	286
579	319	286
580	320	285
581	320	285
582	321	284
583	321	284
584	322	283
585	322	283
586	323	282
587	324	282
588	324	281
589	324	280
590	325	280
591	325	279
592	326	279
593	326	278
594	327	277
595	327	277
596	328	276
597	328	276
598	329	275
599	329	274
600	330	274
601	330	273
602	331	272
603	331	272
604	332	271
605	332	271
606	333	270
607	333	269
608	334	269
609	334	268
