DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,CS_rate,CS_TD,Closed_CC,S_CS
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,294,5.1,0,100000,108.6,0.001666667,0,90.8,5.777173913
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,289.8,5.29,0,100000,94.1,0.001666667,1,90.8,3.567934783
100010000,31.4,537,6.137392236,1000,18,1.5,0.06,0.025,0.01,0.0067,14.66666667,94.34810533,0.7,60,35,35,629.03,10000,222.886,0.002073677,0,82.2307,3.169014085
100010000,31.4,698,6.187663085,1000,18,1.153,0.0385,0.019,0.0077,0.0056,9.401709402,95.76352783,0.7,53.6,35,35,629.03,10000,182.1925,0.002094565,0,84.9192,4.727272727
100010000,31.4,480,6.36217586,1000,18,1.67,0.056,0.028,0.011,0.0056,13.58024691,95.07168459,0.7,62.5,35,35,629.03,10000,223.462,0.00207407,0,79.8028,1.714285714
100010000,31.4,559,6.298574562,1000,18,1.5,0.055,0.025,0.01,0.0061,13.44444444,94.80909481,0.7,60,35,35,629.03,10000,223.253,0.00207407,0,82.0161,2.522522523
100010000,31.4,979,6.07236363,1000,18,0.83,0.039,0.014,0.0083,0.0078,9.50617284,94.98942574,0.7,45.5,35,35,629.03,10000,204.3295,0.002106409,0,79.8857,2.145922747
100010000,31.4,1229,6.076863539,1000,18,0.65,0.03,0.011,0.0065,0.0078,7.439613527,95.63492063,0.7,39.5,35,35,629.03,10000,197.3435,0.002102504,0,80.2847,1.456815817
100010000,31.4,1154,6.094136399,1000,18,0.7,0.0233,0.012,0.007,0.0056,5.684754522,96.74074074,0.7,41.1,35,35,629.03,10000,187.7855,0.002093777,0,83.2073,3.902953586
110000000,31,420,4.5,1000,18,59,2,0.88,0.9,0.189,4.900419287,97.00500501,1.7,62.9,249.95,5,0,100000,123.3,0.001666667,0,92.3,5.570351759
110000000,31,420,4.5,1000,18,59,2,0.88,0.9,0.189,4.900419287,97.00500501,1.7,62.9,249.95,5,0,100000,151.7,0.001666667,1,92.3,4.391959799
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,289.8,5,0,100000,128.1,0.001666667,0,93.1,5.490861619
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,289.8,5,0,100000,158.8,0.001666667,1,93.1,3.754569191
