iter	Passed	Remaining
0	1	1158
1	2	1122
2	2	1011
3	3	982
4	4	965
5	5	1000
6	6	947
7	6	911
8	7	885
9	7	862
10	8	842
11	9	843
12	10	837
13	11	861
14	12	880
15	13	886
16	28	1819
17	29	1768
18	30	1716
19	30	1664
20	31	1619
21	32	1584
22	32	1544
23	33	1506
24	34	1473
25	34	1442
26	35	1409
27	36	1378
28	36	1351
29	37	1323
30	37	1303
31	38	1285
32	39	1270
33	39	1250
34	40	1230
35	41	1211
36	41	1197
37	42	1186
38	43	1180
39	44	1167
40	44	1159
41	45	1150
42	46	1142
43	47	1133
44	48	1125
45	48	1115
46	49	1104
47	50	1100
48	50	1089
49	51	1078
50	52	1070
51	52	1064
52	53	1056
53	54	1046
54	54	1036
55	55	1029
56	56	1024
57	56	1019
58	57	1012
59	57	1003
60	58	996
61	59	988
62	59	982
63	60	976
64	60	968
65	61	961
66	62	955
67	62	953
68	63	952
69	64	950
70	65	945
71	65	941
72	66	938
73	67	934
74	68	930
75	68	926
76	69	923
77	70	919
78	71	917
79	71	912
80	72	910
81	73	908
82	74	908
83	74	903
84	75	899
85	75	895
86	76	892
87	77	890
88	78	891
89	79	888
90	79	884
91	80	878
92	80	874
93	81	872
94	82	870
95	82	867
96	83	865
97	84	863
98	85	859
99	85	855
100	86	853
101	87	851
102	87	848
103	88	846
104	89	845
105	89	843
106	90	842
107	91	839
108	91	836
109	92	835
110	93	833
111	94	831
112	94	829
113	95	828
114	96	827
115	97	825
116	98	823
117	99	824
118	99	823
119	100	822
120	101	821
121	102	820
122	103	818
123	103	816
124	104	814
125	105	814
126	105	811
127	106	809
128	107	808
129	108	807
130	108	805
131	109	803
132	110	802
133	111	802
134	112	800
135	112	798
136	113	797
137	114	796
138	114	794
139	115	791
140	116	789
141	116	787
142	117	787
143	118	784
144	118	782
145	119	780
146	120	778
147	120	777
148	121	774
149	122	773
150	122	772
151	123	770
152	124	767
153	124	765
154	125	764
155	126	762
156	126	761
157	127	759
158	128	758
159	128	756
160	129	755
161	130	755
162	131	754
163	131	752
164	132	751
165	133	750
166	134	750
167	134	748
168	135	747
169	136	746
170	137	745
171	137	743
172	138	742
173	139	740
174	139	739
175	140	737
176	140	735
177	141	733
178	142	732
179	143	731
180	143	730
181	144	728
182	145	727
183	145	725
184	146	724
185	147	724
186	148	723
187	148	722
188	149	721
189	150	719
190	151	719
191	152	719
192	152	717
193	153	716
194	154	715
195	154	713
196	155	711
197	155	710
198	156	709
199	157	708
200	158	707
201	158	706
202	159	705
203	160	704
204	160	702
205	161	701
206	162	700
207	162	698
208	163	697
209	164	696
210	165	695
211	165	694
212	166	692
213	166	690
214	167	690
215	168	689
216	169	689
217	170	688
218	170	687
219	171	686
220	172	685
221	173	685
222	174	684
223	174	682
224	175	682
225	175	680
226	176	679
227	177	677
228	177	676
229	178	676
230	179	674
231	180	674
232	181	673
233	181	672
234	182	671
235	183	671
236	184	671
237	185	671
238	186	670
239	186	669
240	187	667
241	187	666
242	188	664
243	189	663
244	189	662
245	190	660
246	190	659
247	191	659
248	192	658
249	193	657
250	194	656
251	194	655
252	195	654
253	196	653
254	196	652
255	197	650
256	198	649
257	198	648
258	199	648
259	200	647
260	200	645
261	201	645
262	202	644
263	203	643
264	203	641
265	204	641
266	205	639
267	205	639
268	206	638
269	207	636
270	207	635
271	208	635
272	209	633
273	209	633
274	210	632
275	211	630
276	211	629
277	212	628
278	213	627
279	214	627
280	214	626
281	215	624
282	215	623
283	216	623
284	217	622
285	218	621
286	219	620
287	219	619
288	220	619
289	221	618
290	222	617
291	222	616
292	223	615
293	224	614
294	224	613
295	225	612
296	226	611
297	227	611
298	227	610
299	228	609
300	229	608
301	229	607
302	230	606
303	231	605
304	232	604
305	232	604
306	233	603
307	234	602
308	234	601
309	235	600
310	236	599
311	237	598
312	237	597
313	238	596
314	239	595
315	239	594
316	240	593
317	240	592
318	241	591
319	242	591
320	243	590
321	243	589
322	244	588
323	245	587
324	246	587
325	246	586
326	247	584
327	248	584
328	248	582
329	249	581
330	249	580
331	250	579
332	251	578
333	251	577
334	252	576
335	253	575
336	253	574
337	254	573
338	254	572
339	255	571
340	256	569
341	256	569
342	257	568
343	258	567
344	259	567
345	259	566
346	260	565
347	261	564
348	262	564
349	262	563
350	263	561
351	263	560
352	264	560
353	265	559
354	266	558
355	267	558
356	268	557
357	268	556
358	269	555
359	269	554
360	270	553
361	271	552
362	271	551
363	272	550
364	273	549
365	273	548
366	274	548
367	275	548
368	276	547
369	277	546
370	277	545
371	278	545
372	279	544
373	280	543
374	280	542
375	281	542
376	282	541
377	283	540
378	284	540
379	285	540
380	285	539
381	286	538
382	287	538
383	288	537
384	288	536
385	289	535
386	290	534
387	291	534
388	292	533
389	293	533
390	293	532
391	294	531
392	295	531
393	296	531
394	297	531
395	298	531
396	299	530
397	300	529
398	301	529
399	302	528
400	303	528
401	304	527
402	304	527
403	305	526
404	306	526
405	307	525
406	308	524
407	308	523
408	309	522
409	310	522
410	311	522
411	312	521
412	313	521
413	314	521
414	315	521
415	316	520
416	317	519
417	318	518
418	318	518
419	319	517
420	320	516
421	321	515
422	321	515
423	322	514
424	323	514
425	324	513
426	325	512
427	325	511
428	326	511
429	327	510
430	328	509
431	329	508
432	329	508
433	330	507
434	331	506
435	332	506
436	333	505
437	334	504
438	334	504
439	336	504
440	337	503
441	338	503
442	338	502
443	339	502
444	340	501
445	341	500
446	342	499
447	342	498
448	343	498
449	344	497
450	345	496
451	346	496
452	346	495
453	347	494
454	348	494
455	349	493
456	350	492
457	351	492
458	351	491
459	352	490
460	353	490
461	354	489
462	355	488
463	356	488
464	357	487
465	357	486
466	358	485
467	358	484
468	359	483
469	360	482
470	360	481
471	361	480
472	362	479
473	362	479
474	363	478
475	364	477
476	365	477
477	366	476
478	367	476
479	367	475
480	368	474
481	369	473
482	371	474
483	372	473
484	373	473
485	373	472
486	374	471
487	375	470
488	376	470
489	377	469
490	378	469
491	378	468
492	379	467
493	380	466
494	381	465
495	381	465
496	382	464
497	383	463
498	384	462
499	385	462
500	386	461
501	386	460
502	387	460
503	388	459
504	389	459
505	390	458
506	391	457
507	392	457
508	393	456
509	394	456
510	395	455
511	396	454
512	396	454
513	397	453
514	398	452
515	399	452
516	400	451
517	401	450
518	402	450
519	403	449
520	403	448
521	404	447
522	405	447
523	405	446
524	406	445
525	407	444
526	407	443
527	408	442
528	409	441
529	409	440
530	410	440
531	411	439
532	412	438
533	412	437
534	413	436
535	414	436
536	415	435
537	416	434
538	416	433
539	417	433
540	418	432
541	419	431
542	419	430
543	420	429
544	421	428
545	421	428
546	422	427
547	423	426
548	424	425
549	424	424
550	425	424
551	426	423
552	427	422
553	427	421
554	428	420
555	429	420
556	430	419
557	430	418
558	431	417
559	432	416
560	433	416
561	434	415
562	434	414
563	435	413
564	436	412
565	436	412
566	437	411
567	438	410
568	438	409
569	439	408
570	440	408
571	441	407
572	442	406
573	443	405
574	443	405
575	444	404
576	445	403
577	446	402
578	446	401
579	447	400
580	447	400
581	448	399
582	449	398
583	449	397
584	450	396
585	451	395
586	452	395
587	453	394
588	454	394
589	455	393
590	455	392
591	456	391
592	457	390
593	458	390
594	459	389
595	459	388
596	460	388
597	461	387
598	462	386
599	463	386
600	464	385
601	465	384
602	466	384
603	466	383
604	467	382
605	468	381
606	469	381
607	470	380
608	471	380
609	472	379
610	473	378
611	473	377
612	474	376
613	474	375
614	475	375
615	476	374
616	477	373
617	478	372
618	478	372
619	479	371
620	480	370
621	480	369
622	481	368
623	482	367
624	482	366
625	483	366
626	484	365
627	484	364
628	485	363
629	486	362
630	486	361
631	487	360
632	488	360
633	488	359
634	489	358
635	490	357
636	491	356
637	491	356
638	492	355
639	493	354
640	493	353
641	494	352
642	495	352
643	496	351
644	497	350
645	497	349
646	498	349
647	499	348
648	500	347
649	500	346
650	501	346
651	502	345
652	503	344
653	504	343
654	505	343
655	506	342
656	506	341
657	507	341
658	508	340
659	509	339
660	509	338
661	510	337
662	511	337
663	512	336
664	512	335
665	513	334
666	513	333
667	514	332
668	515	331
669	515	331
670	516	330
671	517	329
672	518	328
673	518	327
674	519	327
675	520	326
676	520	325
677	521	324
678	521	323
679	522	322
680	523	321
681	523	321
682	524	320
683	525	319
684	525	318
685	526	317
686	527	316
687	527	316
688	528	315
689	529	314
690	529	313
691	530	312
692	531	311
693	531	311
694	532	310
695	533	309
696	533	308
697	534	307
698	535	306
699	535	306
700	536	305
701	536	304
702	537	303
703	538	302
704	538	301
705	539	301
706	540	300
707	540	299
708	541	298
709	541	297
710	542	296
711	543	296
712	543	295
713	544	294
714	545	293
715	545	292
716	546	292
717	547	291
718	548	290
719	548	289
720	549	288
721	550	288
722	551	287
723	551	286
724	552	285
725	552	284
726	553	284
727	554	283
728	554	282
729	555	281
730	556	280
731	557	280
732	557	279
733	558	278
734	559	277
735	559	276
736	560	275
737	560	275
738	561	274
739	562	273
740	562	272
741	563	271
742	564	270
743	564	270
744	565	269
745	566	268
746	566	267
747	567	266
748	567	266
749	568	265
750	569	264
751	569	263
752	570	262
753	571	262
754	571	261
755	572	260
756	573	259
757	573	258
758	574	258
759	575	257
760	575	256
761	576	255
762	577	254
763	577	254
764	578	253
765	578	252
766	579	251
767	580	250
768	581	250
769	581	249
770	582	248
771	582	247
772	583	246
773	583	245
774	584	245
775	585	244
776	585	243
777	586	242
778	586	241
779	587	241
780	588	240
781	588	239
782	589	238
783	589	237
784	590	236
785	591	236
786	591	235
787	592	234
788	593	233
789	593	233
790	594	232
791	595	231
792	596	230
793	596	229
794	597	229
795	598	228
796	598	227
797	599	226
798	599	225
799	600	225
800	601	224
801	601	223
802	602	222
803	603	222
804	603	221
805	604	220
806	605	219
807	605	218
808	606	218
809	607	217
810	608	216
811	608	215
812	609	215
813	610	214
814	610	213
815	611	212
816	612	212
817	612	211
818	613	210
819	614	209
820	615	208
821	615	208
822	616	207
823	616	206
824	617	205
825	618	205
826	618	204
827	619	203
828	620	202
829	620	201
830	621	201
831	622	200
832	622	199
833	623	198
834	624	198
835	625	197
836	625	196
837	626	195
838	627	195
839	628	194
840	628	193
841	629	192
842	630	192
843	630	191
844	631	190
845	631	189
846	632	188
847	632	188
848	633	187
849	634	186
850	635	185
851	635	185
852	636	184
853	637	183
854	637	182
855	638	182
856	639	181
857	640	180
858	641	179
859	641	179
860	642	178
861	643	177
862	643	176
863	644	176
864	645	175
865	645	174
866	646	173
867	647	172
868	647	172
869	648	171
870	648	170
871	649	169
872	650	169
873	650	168
874	651	167
875	651	166
876	652	165
877	653	165
878	654	164
879	654	163
880	655	162
881	656	162
882	656	161
883	657	160
884	658	159
885	658	159
886	659	158
887	660	157
888	661	156
889	661	156
890	662	155
891	662	154
892	663	153
893	664	153
894	664	152
895	665	151
896	665	150
897	666	149
898	667	149
899	667	148
900	668	147
901	669	146
902	669	146
903	670	145
904	671	144
905	671	143
906	672	143
907	673	142
908	673	141
909	674	140
910	675	140
911	676	139
912	676	138
913	677	137
914	678	137
915	678	136
916	679	135
917	680	134
918	681	134
919	682	133
920	683	132
921	683	131
922	684	131
923	685	130
924	685	129
925	686	129
926	687	128
927	688	127
928	689	126
929	690	126
930	690	125
931	691	124
932	692	123
933	693	123
934	694	122
935	694	121
936	695	121
937	696	120
938	697	119
939	698	118
940	698	118
941	699	117
942	700	116
943	701	115
944	701	115
945	702	114
946	703	113
947	703	112
948	704	112
949	705	111
950	706	110
951	707	109
952	707	109
953	708	108
954	709	107
955	710	106
956	711	106
957	711	105
958	712	104
959	713	104
960	714	103
961	714	102
962	715	101
963	716	101
964	717	100
965	717	99
966	718	98
967	719	98
968	720	97
969	721	96
970	721	95
971	722	95
972	723	94
973	724	93
974	725	92
975	725	92
976	726	91
977	727	90
978	727	89
979	728	89
980	729	88
981	729	87
982	730	86
983	731	86
984	732	85
985	732	84
986	733	83
987	734	83
988	734	82
989	735	81
990	736	81
991	738	80
992	738	79
993	739	78
994	741	78
995	742	77
996	743	76
997	744	76
998	745	75
999	746	74
1000	746	73
1001	747	73
1002	748	72
1003	749	71
1004	750	70
1005	751	70
1006	751	69
1007	752	68
1008	753	67
1009	753	67
1010	754	66
1011	755	65
1012	756	64
1013	756	64
1014	757	63
1015	758	62
1016	758	61
1017	759	61
1018	760	60
1019	760	59
1020	761	58
1021	761	58
1022	762	57
1023	763	56
1024	764	55
1025	764	55
1026	765	54
1027	765	53
1028	766	52
1029	767	52
1030	768	51
1031	768	50
1032	769	49
1033	770	49
1034	770	48
1035	771	47
1036	772	46
1037	773	46
1038	774	45
1039	775	44
1040	775	43
1041	776	43
1042	777	42
1043	778	41
1044	778	40
1045	779	40
1046	780	39
1047	781	38
1048	782	38
1049	783	37
1050	784	36
1051	785	35
1052	786	35
1053	786	34
1054	787	33
1055	788	32
1056	789	32
1057	790	31
1058	791	30
1059	792	29
1060	792	29
1061	793	28
1062	794	27
1063	795	26
1064	796	26
1065	797	25
1066	798	24
1067	798	23
1068	799	23
1069	800	22
1070	801	21
1071	801	20
1072	802	20
1073	803	19
1074	803	18
1075	804	17
1076	804	17
1077	805	16
1078	806	15
1079	807	14
1080	807	14
1081	808	13
1082	809	12
1083	810	11
1084	810	11
1085	811	10
1086	812	9
1087	812	8
1088	813	8
1089	814	7
1090	815	6
1091	816	5
1092	816	5
1093	817	4
1094	817	3
1095	818	2
1096	819	2
1097	819	1
1098	820	0
1099	821	0
