DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,AB_Mix_t,Q,Cata_Code,MCS,TC_Method,TC_T,Closed_CC,S_TC
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,5.14,0,100000,108.6,1,283.15,90.8,0.661956522
100010000,31.5,440,3.513788402,1000,18,50.67615658,1.494661922,1.010676157,0.455516014,0.167,5.229893238,97.01785714,1.1,58.4,10,0,100100,310,1,297.15,88.9,0.736923077
100100100,31.5,429.3267117,3.418639322,1000,18,32.93172691,0.975329891,0.659781985,0.295467585,0.167,4.215720023,97.37758744,1.1,63.5,10,0,100100,220,1,297.15,89.9,0.763829787
100100100,31.5,418.1186236,3.566900337,1000,18,30.90605892,0.990550306,0.61700945,0.278488049,0.167,4.084491384,97.42897131,1.1,64.6,10,0,100100,210,1,297.15,84.2,0.928246753
100100100,31.5,406.1842226,3.560245676,1000,18,29.05660377,0.862533693,0.582210243,0.264150943,0.167,3.961185984,97.47838023,1.1,65,10,0,100100,280,1,297.15,68.9,0.989473684
100100100,31.5,393.4943044,3.547551294,1000,18,27.42019885,0.83725798,0.549450549,0.248560963,0.167,3.845107274,97.52592593,1.1,65.6,10,0,100100,320,1,297.15,65.7,1.164233577
100100100,31.5,380,3.668265392,1000,18,25.82613116,0.762582613,0.518556177,0.234875445,0.167,3.735638027,97.57171183,1.1,66.3,10,0,100100,260,1,297.15,37.3,1.528793774
110000000,31,420,4.5,1000,18,59,2,0.88,0.9,0.189,4.900419287,97.00500501,1.7,62.9,5,0,100000,123.3,1,283.15,92.3,0.616834171
110100000,31,367.9917355,4.464132231,1000,18,67.56756757,2.182432432,1.013513514,1.013513514,0.18,5.351351351,96.8847107,1.83,59.7,5,0,100000,128.1,1,283.15,93.1,0.661879896
110000000,31.25,430,4.1,1000,18,74.1,1.5,1.5,3.34,0.11,3.621399177,97.99224276,1.182,57.4,10.79,342,101001,350,1,290.55,66,0.605960265
110000000,31,340,3,1000,18,67,2,1.3,0.603,0.167,4.888888889,97.13429725,1.2,60,9,0,100100,260,1,297.15,90.6,0.637819026
101010000,31.4,375.8707225,2.591706524,1000,18,71,2.1,1.8,0.76,0.167,5.231742408,97.02779016,1.1,55.5,11.18,0,101000,190.6,1,298.15,90,0.67961165
101010000,31.4,433.2145128,3.362119851,1000,18,68,2.03,1.7,0.71,0.167,4.961995624,97.11683376,1.1,55.5,10.74,0,101000,178.1,1,298.15,58,1.271186441
101010000,31.4,444.4959627,3.576715107,1000,18,66,2,1.65,0.7,0.167,4.836972055,97.15949439,1.1,55.5,10.46,0,101000,237.3,1,298.15,47,1.588785047
101000000,31.4,315,2,1000,18,80,2.41,2.01,0.85,0.167,5.883611468,96.82814302,1.1,55.5,12.52,0,101000,163.8,1,298.15,93,0.575221239
110000000,31.5,360,3,1001,84.95192308,74,16.47,1.84,1.5,0.11,18.30065359,90.50223664,1.1,57.6,15.93,9.519,101001,580,1,323.15,60.1736,1.100070972
