iter	RMSE
0	0.3354235161
1	0.3320475582
2	0.3292915315
3	0.3263179668
4	0.3232324757
5	0.32058167
6	0.3180713029
7	0.3153165992
8	0.3127573966
9	0.309991522
10	0.30727732
11	0.3045574838
12	0.3019974634
13	0.2995320699
14	0.2968070087
15	0.2943538212
16	0.2921199573
17	0.2897355751
18	0.287534376
19	0.2853279424
20	0.282908967
21	0.280755505
22	0.2785640914
23	0.2764746043
24	0.2744341961
25	0.2724235589
26	0.2701255881
27	0.2680321002
28	0.2661265068
29	0.2641532333
30	0.2618705094
31	0.2598879108
32	0.2575974605
33	0.2555262939
34	0.2539997709
35	0.2519350359
36	0.2503135914
37	0.2482897884
38	0.2465606527
39	0.2447414093
40	0.2427635265
41	0.2409665119
42	0.2392142879
43	0.2377256286
44	0.2360974408
45	0.2345140529
46	0.2331031898
47	0.2316604078
48	0.2301731247
49	0.2287017682
50	0.2271229396
51	0.2256081113
52	0.2243880477
53	0.222955605
54	0.2217160514
55	0.2202084151
56	0.2187994732
57	0.2176156937
58	0.2159594192
59	0.2147423683
60	0.2132758446
61	0.2118686027
62	0.2106201161
63	0.20911016
64	0.2078798254
65	0.2066118801
66	0.2054591146
67	0.2041610847
68	0.2027971049
69	0.2019454946
70	0.2005421054
71	0.1994368438
72	0.1985186808
73	0.1974404857
74	0.1962197533
75	0.1949521727
76	0.1937463552
77	0.1927083777
78	0.1917285013
79	0.190761653
80	0.1899485711
81	0.188886682
82	0.187807665
83	0.1870530672
84	0.1861297111
85	0.1853189274
86	0.1843260594
87	0.1835108096
88	0.1827484719
89	0.1818654958
90	0.1807815504
91	0.1799491712
92	0.1790559894
93	0.1782150544
94	0.1771648386
95	0.176659826
96	0.1757971851
97	0.1749193848
98	0.1740621856
99	0.173115017
100	0.172207331
101	0.171441297
102	0.1704381591
103	0.1695559449
104	0.1684902861
105	0.167736048
106	0.1667894234
107	0.1656803112
108	0.1649838745
109	0.164221771
110	0.1631685032
111	0.1624930344
112	0.1618873464
113	0.1610922676
114	0.1604608143
115	0.1598350575
116	0.158953807
117	0.1580810861
118	0.15737081
119	0.1565541613
120	0.155999371
121	0.1553212459
122	0.154832107
123	0.1542191186
124	0.1537673098
125	0.1529887599
126	0.1522082657
127	0.1515179189
128	0.1510622159
129	0.150447711
130	0.149821335
131	0.1490939788
132	0.148331645
133	0.147818211
134	0.1472861491
135	0.1466526899
136	0.1461367963
137	0.1456015834
138	0.1451408614
139	0.1445747537
140	0.1440889777
141	0.1435878662
142	0.1430609705
143	0.1426084804
144	0.1420206089
145	0.1416331382
146	0.1411575806
147	0.1407355785
148	0.1400163812
149	0.139469223
150	0.138791605
151	0.1383728125
152	0.1379000256
153	0.1373629805
154	0.1369323803
155	0.1365867781
156	0.1361503135
157	0.1357409631
158	0.1352851516
159	0.1348719829
160	0.1343612825
161	0.1338125716
162	0.1333883688
163	0.1330427048
164	0.1325873999
165	0.1321219577
166	0.1316595137
167	0.1312711739
168	0.1307890569
169	0.130393655
170	0.129864844
171	0.1295117541
172	0.129000353
173	0.1285857762
174	0.128016601
175	0.1276817813
176	0.1271102988
177	0.1267263434
178	0.1263223309
179	0.125914617
180	0.1254993824
181	0.1252061617
182	0.1247725067
183	0.124421395
184	0.1241729709
185	0.1236842291
186	0.1233114483
187	0.1229156532
188	0.1225384972
189	0.1222433351
190	0.1218832458
191	0.1214421581
192	0.1211325051
193	0.1208434386
194	0.1204507172
195	0.1200449097
196	0.11975133
197	0.1194310509
198	0.1191170066
199	0.1187787134
200	0.1184251808
201	0.118118679
202	0.117796948
203	0.1173217552
204	0.1169524345
205	0.1165789431
206	0.1162479567
207	0.1158907317
208	0.1154127497
209	0.1151327282
210	0.1147833549
211	0.1144335225
212	0.1141244501
213	0.1138312186
214	0.1133100081
215	0.1128895096
216	0.1126397831
217	0.1121599237
218	0.1119371718
219	0.1116605501
220	0.1112996486
221	0.1110760341
222	0.1107674343
223	0.1105173036
224	0.1102941951
225	0.1099308259
226	0.1096075199
227	0.1093407903
228	0.1090988721
229	0.1087348884
230	0.1083995895
231	0.1080819932
232	0.1078847754
233	0.107632875
234	0.1072322864
235	0.1068857122
236	0.10665227
237	0.1062887863
238	0.106077471
239	0.1058877638
240	0.105580061
241	0.1053645197
242	0.1051940943
243	0.1048327632
244	0.1044950182
245	0.1041794916
246	0.1038833215
247	0.1034507092
248	0.1031158729
249	0.1028181174
250	0.1026734449
251	0.1023814015
252	0.1020142204
253	0.1017583553
254	0.101492303
255	0.1012254081
256	0.1009609295
257	0.1007798052
258	0.1004748594
259	0.1002783548
260	0.09984314899
261	0.0996137351
262	0.09936408088
263	0.0991457203
264	0.09897056871
265	0.09859366007
266	0.09842896967
267	0.09822979456
268	0.09794257029
269	0.09769997562
270	0.09753929024
271	0.09729894692
272	0.09707553444
273	0.09699242954
274	0.09675455932
275	0.09661729181
276	0.09646028152
277	0.09633640705
278	0.09617229198
279	0.09598456014
280	0.09581800409
281	0.0955522943
282	0.09536392848
283	0.09511232038
284	0.0950063546
285	0.09486193921
286	0.09466199323
287	0.09442379222
288	0.09419831177
289	0.09390977512
290	0.09364863791
291	0.09345311334
292	0.09316172003
293	0.09287670106
294	0.09274396959
295	0.09249821049
296	0.09231333926
297	0.09213365362
298	0.09187327161
299	0.09167488892
300	0.09138401865
301	0.09105620773
302	0.09091727979
303	0.09082954515
304	0.09060701541
305	0.09052317232
306	0.09042696283
307	0.09022516829
308	0.08999495707
309	0.08967243693
310	0.08932602305
311	0.08914225062
312	0.08889581713
313	0.08858696371
314	0.08835772224
315	0.08812666341
316	0.0878483516
317	0.08764050929
318	0.08731907653
319	0.08713230284
320	0.08681592434
321	0.08667755456
322	0.08646361455
323	0.08636204587
324	0.08626009687
325	0.08600584551
326	0.08576572233
327	0.08551745369
328	0.08527571017
329	0.08519012359
330	0.08488398011
331	0.08477470649
332	0.08469652549
333	0.08439242488
334	0.08421753034
335	0.08416220988
336	0.08401096121
337	0.08394527915
338	0.08385774543
339	0.08376358034
340	0.08368388007
341	0.08336501817
342	0.08326842695
343	0.08299403686
344	0.08290569
345	0.08282444629
346	0.08253494723
347	0.08246598675
348	0.08228467139
349	0.08216077908
350	0.08208285312
351	0.08191318317
352	0.08164952303
353	0.08146900428
354	0.08136991273
355	0.081257985
356	0.08117614827
357	0.08091008829
358	0.08073563237
359	0.08046833557
360	0.08018580203
361	0.0800583259
362	0.07983744284
363	0.07972933861
364	0.0794629548
365	0.07937813489
366	0.07926834623
367	0.07895567419
368	0.07881489554
369	0.07872363838
370	0.07864937607
