iter	RMSE
0	7.428773159
1	7.366763784
2	7.313692621
3	7.253823856
4	7.194239204
5	7.132555544
6	7.080601758
7	7.02538732
8	6.983730027
9	6.932716582
10	6.881668114
11	6.829984623
12	6.77607571
13	6.730116666
14	6.681262761
15	6.635027075
16	6.587790471
17	6.540083321
18	6.499325657
19	6.45549437
20	6.420330877
21	6.383739862
22	6.338109931
23	6.29205436
24	6.246555488
25	6.205412875
26	6.161436257
27	6.1170667
28	6.068530665
29	6.026471232
30	5.984934389
31	5.939810978
32	5.900294205
33	5.859591427
34	5.819641005
35	5.782576766
36	5.751050613
37	5.71313541
38	5.679128989
39	5.637057224
40	5.600983931
41	5.568437889
42	5.537417548
43	5.502055619
44	5.467400891
45	5.432397654
46	5.390723884
47	5.36051599
48	5.325703393
49	5.290008924
50	5.2535282
51	5.223235622
52	5.190969369
53	5.164572154
54	5.133341635
55	5.096900984
56	5.065204105
57	5.031971191
58	5.004292933
59	4.97599042
60	4.950118593
61	4.917255371
62	4.89422589
63	4.864706028
64	4.836537515
65	4.81262804
66	4.789027401
67	4.759772164
68	4.731692364
69	4.711188224
70	4.681031441
71	4.654109818
72	4.632382133
73	4.606085724
74	4.583733017
75	4.559309933
76	4.537146407
77	4.507985687
78	4.482075032
79	4.457557702
80	4.435509559
81	4.411818459
82	4.39350704
83	4.369792584
84	4.34404282
85	4.320793966
86	4.296137793
87	4.274709718
88	4.253428328
89	4.227604725
90	4.20466905
91	4.178102182
92	4.156206836
93	4.137342201
94	4.113341025
95	4.089796294
96	4.073693325
97	4.054049177
98	4.036305446
99	4.015794677
100	3.994079164
101	3.97147948
102	3.950810683
103	3.93221615
104	3.912083
105	3.900263865
106	3.882346661
107	3.863422493
108	3.841840107
109	3.825658543
110	3.807056507
111	3.790183362
112	3.772048651
113	3.754261473
114	3.733912168
115	3.720527187
116	3.709008773
117	3.692165429
118	3.679680425
119	3.659127437
120	3.646027972
121	3.635602118
122	3.622693414
123	3.606063849
124	3.594049011
125	3.57852948
126	3.563144021
127	3.548652264
128	3.529720199
129	3.516151222
130	3.507233672
131	3.49051672
132	3.481075502
133	3.46478543
134	3.44909766
135	3.440455294
136	3.427054867
137	3.419572078
138	3.403653895
139	3.385371472
140	3.373920833
141	3.358886173
142	3.344688045
143	3.330316764
144	3.313131771
145	3.305243378
146	3.291106909
147	3.281039561
148	3.267818443
149	3.250007413
150	3.23362917
151	3.222918322
152	3.216924006
153	3.202090639
154	3.193048006
155	3.181832217
156	3.170308979
157	3.156333912
158	3.145369915
159	3.134509049
160	3.122136905
161	3.111676946
162	3.103845673
163	3.096225586
164	3.08892592
165	3.078034062
166	3.065495236
167	3.061857515
168	3.050026819
169	3.039266014
170	3.02663075
171	3.013943113
172	3.004124363
173	2.996027682
174	2.985679847
175	2.975239486
176	2.962454771
177	2.950720733
178	2.943958437
179	2.935232385
180	2.929664087
181	2.917138045
182	2.905853775
183	2.897182602
184	2.882947916
185	2.871632125
186	2.862132174
187	2.854745262
188	2.849966389
189	2.843360034
190	2.836359369
191	2.825697908
192	2.819919398
193	2.812224923
194	2.805390587
195	2.798156859
196	2.792396505
197	2.787468186
198	2.776214764
199	2.768053657
200	2.760837297
201	2.751808061
202	2.744149132
203	2.737581735
204	2.728664869
205	2.722320588
206	2.71149183
207	2.701362148
208	2.694658588
209	2.687678838
210	2.679376498
211	2.67467747
212	2.665241955
213	2.659913883
214	2.649290465
215	2.643861782
216	2.640174662
217	2.635870938
218	2.630307234
219	2.625438024
220	2.622242019
221	2.6168889
222	2.608342664
223	2.601164336
224	2.59097005
225	2.582881599
226	2.577704637
227	2.572033204
228	2.56776329
229	2.560742677
230	2.553118822
231	2.546372528
232	2.541377456
233	2.53887489
234	2.533161256
235	2.524170015
236	2.516202581
237	2.51122942
238	2.507305047
239	2.502623854
240	2.496185494
241	2.492544433
242	2.486702992
243	2.482587531
244	2.476863155
245	2.470286835
246	2.46535359
247	2.455962849
248	2.452175765
249	2.44413822
250	2.435812157
251	2.42867704
252	2.420657564
253	2.416690676
254	2.409861504
255	2.403705559
256	2.399566524
257	2.395526827
258	2.391825161
259	2.387786695
260	2.377422311
261	2.372714266
262	2.367738305
263	2.364060026
264	2.359059164
265	2.352677554
266	2.347587366
267	2.343916594
268	2.338160204
269	2.334010644
270	2.326307594
271	2.318595405
272	2.314669549
273	2.312110694
274	2.30593881
275	2.299463119
276	2.295699787
277	2.292174529
278	2.285524845
279	2.279639728
280	2.272328595
281	2.26633302
282	2.264245485
283	2.258894188
284	2.255902127
285	2.251568652
286	2.2466284
287	2.242324763
288	2.239414421
289	2.237323021
290	2.231236968
291	2.227540429
292	2.223495549
293	2.214512982
294	2.210908517
295	2.207756246
296	2.205399594
297	2.198984814
298	2.193874821
299	2.187626416
300	2.184431972
301	2.179430203
302	2.176482241
303	2.172094011
304	2.169431184
305	2.16502051
306	2.161747705
307	2.15807154
308	2.155547268
309	2.152132911
310	2.148972755
311	2.14771274
312	2.140579544
313	2.13694286
314	2.134267165
315	2.126220548
316	2.121609855
317	2.114669677
318	2.112823481
319	2.109687091
320	2.104091568
321	2.100844853
322	2.097493029
323	2.094131127
324	2.08980271
325	2.085661306
326	2.081995912
327	2.076631929
328	2.072856383
329	2.066144442
330	2.059421422
331	2.056724244
332	2.052636795
333	2.049299071
334	2.045196416
335	2.040918198
336	2.038768841
337	2.035339907
338	2.029737276
339	2.022977107
340	2.017950335
341	2.013515366
342	2.011424865
343	2.007220437
344	2.006060515
345	2.001660411
346	1.997646387
347	1.995597139
348	1.991112984
349	1.98765548
350	1.983447304
351	1.981359575
352	1.977626975
353	1.973427582
354	1.970174399
355	1.964642561
356	1.961249419
357	1.958053798
