iter	Passed	Remaining
0	24	12313
1	47	11949
2	70	11753
3	93	11592
4	115	11446
5	141	11641
6	148	10476
7	171	10573
8	193	10555
9	214	10530
10	235	10488
11	256	10438
12	277	10393
13	298	10360
14	319	10320
15	340	10296
16	341	9707
17	362	9717
18	384	9731
19	406	9754
20	416	9506
21	437	9511
22	458	9513
23	480	9524
24	483	9185
25	504	9201
26	526	9218
27	547	9228
28	568	9234
29	589	9234
30	610	9236
31	631	9239
32	652	9238
33	674	9240
34	695	9239
35	716	9239
36	737	9232
37	759	9233
38	780	9230
39	802	9228
40	824	9234
41	847	9240
42	869	9242
43	891	9240
44	912	9229
45	934	9220
46	955	9210
47	977	9202
48	998	9194
49	1020	9182
50	1041	9171
51	1062	9157
52	1084	9143
53	1105	9131
54	1127	9120
55	1149	9114
56	1172	9114
57	1195	9110
58	1217	9100
59	1239	9087
60	1260	9075
61	1282	9061
62	1303	9043
63	1325	9027
64	1346	9012
65	1367	8994
66	1389	8977
67	1410	8962
68	1436	8970
69	1461	8977
70	1485	8975
71	1508	8968
72	1532	8963
73	1556	8959
74	1580	8957
75	1606	8960
76	1631	8964
77	1656	8961
78	1679	8948
79	1701	8932
80	1731	8958
81	1756	8953
82	1778	8935
83	1800	8916
84	1822	8897
85	1843	8875
86	1865	8854
87	1886	8833
88	1908	8812
89	1929	8788
90	1950	8766
91	1973	8752
92	1997	8740
93	2019	8721
94	2041	8703
95	2064	8686
96	2085	8664
97	2106	8642
98	2127	8618
99	2150	8602
100	2173	8585
101	2195	8566
102	2218	8550
103	2239	8528
104	2260	8503
105	2281	8479
106	2302	8455
107	2323	8432
108	2344	8409
109	2365	8386
110	2387	8367
111	2408	8345
112	2429	8321
113	2450	8298
114	2472	8277
115	2493	8255
116	2515	8232
117	2536	8210
118	2557	8187
119	2578	8164
120	2599	8141
121	2621	8122
122	2644	8103
123	2666	8086
124	2690	8070
125	2714	8056
126	2737	8040
127	2761	8025
128	2785	8010
129	2809	7996
130	2833	7980
131	2856	7964
132	2880	7948
133	2903	7931
134	2936	7940
135	2968	7944
136	2993	7930
137	3019	7920
138	3043	7905
139	3067	7889
140	3092	7873
141	3115	7854
142	3138	7834
143	3161	7816
144	3186	7802
145	3210	7783
146	3232	7763
147	3255	7743
148	3278	7724
149	3300	7701
150	3322	7679
151	3344	7657
152	3367	7636
153	3390	7616
154	3411	7593
155	3433	7570
156	3454	7547
157	3464	7500
158	3475	7452
159	3496	7430
160	3517	7406
161	3539	7384
162	3561	7362
163	3585	7345
164	3608	7326
165	3631	7305
166	3653	7284
167	3675	7264
168	3697	7242
169	3719	7220
170	3742	7200
171	3764	7179
172	3786	7156
173	3808	7134
174	3829	7112
175	3850	7089
176	3872	7066
177	3893	7042
178	3914	7019
179	3936	6997
180	3957	6974
181	3978	6951
182	4000	6929
183	4021	6906
184	4042	6883
185	4063	6860
186	4085	6837
187	4106	6815
188	4127	6792
189	4149	6769
190	4170	6747
191	4193	6727
192	4217	6708
193	4240	6687
194	4261	6666
195	4283	6643
196	4304	6621
197	4326	6598
198	4348	6576
199	4369	6554
200	4391	6532
201	4412	6509
202	4434	6487
203	4455	6464
204	4476	6441
205	4497	6418
206	4518	6396
207	4540	6374
208	4562	6351
209	4583	6329
210	4605	6307
211	4626	6285
212	4648	6262
213	4669	6240
214	4690	6217
215	4711	6195
216	4733	6172
217	4754	6149
218	4775	6127
219	4796	6105
220	4802	6063
221	4824	6041
222	4846	6019
223	4867	5997
224	4889	5975
225	4911	5954
226	4932	5932
227	4953	5910
228	4975	5887
229	4996	5865
230	5018	5843
231	5039	5821
232	5060	5798
233	5081	5776
234	5102	5754
235	5123	5731
236	5144	5709
237	5166	5687
238	5188	5666
239	5210	5644
240	5231	5622
241	5253	5600
242	5274	5578
243	5296	5556
